# STATION: MPOC1,,,,,
# STATION NAME: MARIPOSA,,,,,
# LATITUDE: 37.504025,,,,,
# LONGITUDE: -119.986794,,,,,
# ELEVATION [ft]: 2231,,,,,
# STATE: CA,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
MPOC1,01/01/2019 19:07 PST,0.56,94,1.79,352
MPOC1,01/01/2019 20:07 PST,0,97,2.23,357
MPOC1,01/01/2019 21:07 PST,-0.56,99,2.23,0
MPOC1,01/01/2019 22:07 PST,-0.56,100,1.34,4
MPOC1,01/01/2019 23:07 PST,-1.11,100,2.23,354
MPOC1,01/02/2019 00:07 PST,-1.11,100,1.79,358
MPOC1,01/02/2019 01:07 PST,-1.11,100,2.68,351
MPOC1,01/02/2019 02:07 PST,-1.11,100,2.68,356
MPOC1,01/02/2019 03:07 PST,-1.67,100,1.79,345
MPOC1,01/02/2019 04:07 PST,-1.67,100,2.68,353
MPOC1,01/02/2019 05:07 PST,-1.67,100,2.68,358
MPOC1,01/02/2019 06:07 PST,-1.67,100,1.79,2
MPOC1,01/02/2019 07:07 PST,-2.22,100,2.23,358
MPOC1,01/02/2019 08:07 PST,-1.11,99,1.34,350
MPOC1,01/02/2019 09:07 PST,4.44,83,0.9,354
MPOC1,01/02/2019 10:07 PST,7.78,47,1.34,167
MPOC1,01/02/2019 11:07 PST,8.89,46,1.34,204
MPOC1,01/02/2019 12:07 PST,10,47,1.34,217
MPOC1,01/02/2019 13:07 PST,11.11,41,1.34,225
MPOC1,01/02/2019 14:07 PST,11.11,39,2.23,177
MPOC1,01/02/2019 15:07 PST,11.11,37,1.79,220
MPOC1,01/02/2019 16:07 PST,8.89,44,0.9,161
MPOC1,01/02/2019 17:07 PST,5,61,1.34,358
MPOC1,01/02/2019 18:07 PST,2.22,74,2.68,354
MPOC1,01/02/2019 19:07 PST,1.11,79,2.68,0
MPOC1,01/02/2019 20:07 PST,0.56,71,2.68,356
MPOC1,01/02/2019 21:07 PST,0,68,2.68,352
MPOC1,01/02/2019 22:07 PST,-0.56,69,3.13,352
MPOC1,01/02/2019 23:07 PST,-0.56,69,3.13,354
MPOC1,01/03/2019 00:07 PST,-0.56,71,3.13,356
MPOC1,01/03/2019 01:07 PST,0,73,2.68,351
MPOC1,01/03/2019 02:07 PST,0,64,3.13,352
MPOC1,01/03/2019 03:07 PST,-0.56,60,2.68,356
MPOC1,01/03/2019 04:07 PST,0,57,3.13,357
MPOC1,01/03/2019 05:07 PST,0,58,2.68,355
MPOC1,01/03/2019 06:07 PST,0,57,2.23,358
MPOC1,01/03/2019 07:07 PST,0,59,2.23,348
MPOC1,01/03/2019 08:07 PST,1.11,59,2.23,351
MPOC1,01/03/2019 09:07 PST,8.33,39,0.9,346
MPOC1,01/03/2019 10:07 PST,12.78,21,0.45,180
MPOC1,01/03/2019 11:07 PST,14.44,20,0.9,198
MPOC1,01/03/2019 12:07 PST,14.44,16,2.23,201
MPOC1,01/03/2019 13:07 PST,14.44,26,2.23,177
MPOC1,01/03/2019 14:07 PST,14.44,26,1.34,191
MPOC1,01/03/2019 15:07 PST,14.44,28,1.34,226
MPOC1,01/03/2019 16:07 PST,12.78,34,0,0
MPOC1,01/03/2019 17:07 PST,9.44,51,0.9,352
MPOC1,01/03/2019 18:07 PST,5,65,1.79,1
MPOC1,01/03/2019 19:07 PST,3.33,68,3.13,1
