Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
KMCE,01/01/2020 20:00 PST,12,76.52,2.57,290,2020-01-01 20:00:00 UTC,35.01,56.39,59.17,53270.27,-57.03,73.33,37.77,44.61
KMCE,01/02/2020 02:00 PST,6,93.3,2.06,230,2020-01-02 02:00:00 UTC,20.91,33.61,35.54,53630.2,-58.03,65,49.9,32.68
KMCE,01/02/2020 08:00 PST,6,93.3,4.12,350,2020-01-02 08:00:00 UTC,21.84,34.91,36.91,53990.17,-58.8,60.67,57,34.24
KMCE,01/02/2020 14:00 PST,13,71.66,2.06,350,2020-01-02 14:00:00 UTC,29.67,48.7,51.81,54350.1,-58.23,53.8,59.57,44.29
KMCE,01/02/2020 20:00 PST,7,93.35,2.06,110,2020-01-02 20:00:00 UTC,31.35,52.11,55.02,54710.03,-57.77,62.1,53.47,44.82
KMCE,01/03/2020 02:00 PST,4,93.19,0,0,2020-01-03 02:00:00 UTC,48.76,84.52,90.5,55070.13,-57.17,61.33,52.83,58.89
KMCE,01/03/2020 08:00 PST,2,100,1.54,120,2020-01-03 08:00:00 UTC,33.66,60.33,65.19,55430.07,-60.2,55,56.9,50.54
KMCE,01/03/2020 14:00 PST,13,76.68,2.06,210,2020-01-03 14:00:00 UTC,26.85,46.97,50.65,55790.13,-55.67,51,56.3,43.79
KMCE,01/03/2020 20:00 PST,5,93.24,2.06,100,2020-01-03 20:00:00 UTC,33.83,58.04,61.61,56150.1,-55.4,70.07,44.1,45.9
KMCE,01/04/2020 02:00 PST,7,93.35,2.06,320,2020-01-04 02:00:00 UTC,39.56,68.96,73.74,56510.07,-55.13,63.27,52.43,52.15
KMCE,01/04/2020 08:00 PST,7,93.35,0,0,2020-01-04 08:00:00 UTC,25.73,45.1,48.4,56870.03,-54.43,55.57,56.77,41.77
KMCE,01/04/2020 14:00 PST,17,59.3,3.6,300,2020-01-04 14:00:00 UTC,28.36,49.82,53.26,57230.07,-54.83,52,57.9,45.32
KMCE,01/04/2020 20:00 PST,11,81.75,3.09,300,2020-01-04 20:00:00 UTC,21.74,35.26,37.19,57590.03,-54.23,76.13,36.77,32.81
KMCE,01/05/2020 02:00 PST,6,93.3,1.54,320,2020-01-05 02:00:00 UTC,13.3,18.89,19.56,57950.1,-54.93,64.43,53.7,17.3
KMCE,01/05/2020 08:00 PST,5,93.24,3.6,270,2020-01-05 08:00:00 UTC,18.09,31.61,33.7,58310.03,-55.57,57.17,61.57,31.57
KMCE,01/05/2020 14:00 PST,15,54.89,9.26,330,2020-01-05 14:00:00 UTC,13.78,26.08,28.46,58670.17,-55.67,56.1,63.77,26.08
KMCE,01/05/2020 20:00 PST,10,66.27,5.66,330,2020-01-05 20:00:00 UTC,10.24,16.38,17.39,59030.17,-55.17,69.8,42.9,16.38
KMCE,01/06/2020 02:00 PST,5,100,1.54,120,2020-01-06 02:00:00 UTC,6.26,9.3,9.7,59390.03,-54.7,62,46.47,9.3
KMCE,01/06/2020 08:00 PST,6,93.3,1.54,220,2020-01-06 08:00:00 UTC,20.62,35.85,38.52,59750.03,-55.63,52.07,58.23,35.06
KMCE,01/06/2020 14:00 PST,9,87.28,1.54,120,2020-01-06 14:00:00 UTC,17.35,32.69,35.5,60110.07,-56.23,56.4,60.27,32.58
KMCE,01/06/2020 20:00 PST,6,86.99,0,0,2020-01-06 20:00:00 UTC,18.71,35.7,38.72,60470.07,-56.7,59.23,58.03,35.1
KMCE,01/07/2020 02:00 PST,2,93.08,1.54,120,2020-01-07 02:00:00 UTC,22.35,39.43,42.55,60830.1,-53.3,57.13,56,37.82
KMCE,01/07/2020 08:00 PST,4,100,2.06,120,2020-01-07 08:00:00 UTC,19.65,34.55,36.89,61190.1,-54.3,49.77,57.6,34.34
KMCE,01/07/2020 14:00 PST,6,100,1.54,190,2020-01-07 14:00:00 UTC,15.94,25.82,27.47,61550.1,-54.1,47.63,59.67,25.79
KMCE,01/07/2020 20:00 PST,6,93.3,0,0,2020-01-07 20:00:00 UTC,24.99,44.04,47.14,61910.1,-53.97,55.4,60.43,41.14
KMCE,01/08/2020 02:00 PST,6,93.3,2.57,230,2020-01-08 02:00:00 UTC,31.76,58.51,63.3,62270.07,-54.53,55.73,58.07,49.46
KMCE,01/08/2020 08:00 PST,6,93.3,2.57,130,2020-01-08 08:00:00 UTC,27.13,52.8,57.88,62630.03,-54.2,55.67,59,46.44
KMCE,01/08/2020 14:00 PST,10,81.61,2.57,10,2020-01-08 14:00:00 UTC,16.56,31.18,33.77,62990.03,-53.87,54.5,59.7,30.89
KMCE,01/08/2020 20:00 PST,8,87.19,2.06,120,2020-01-08 20:00:00 UTC,14.68,27.86,30.45,63350.03,-54.7,59.23,56.57,27.86
KMCE,01/09/2020 02:00 PST,7,93.35,2.06,110,2020-01-09 02:00:00 UTC,23.01,38.73,41.24,63710.03,-52.73,59,56.03,37.04
KMCE,01/09/2020 08:00 PST,7,93.35,4.63,130,2020-01-09 08:00:00 UTC,16.88,29.57,31.66,64070.03,-52.77,55.97,59.83,29.57
KMCE,01/09/2020 14:00 PST,11,76.35,2.57,330,2020-01-09 14:00:00 UTC,18.12,33.14,35.72,64430.03,-52.83,54.87,62.37,32.95
KMCE,01/09/2020 20:00 PST,8,87.19,2.06,270,2020-01-09 20:00:00 UTC,8.32,14.63,15.75,64790.13,-52.3,61.27,55.43,14.63
KMCE,01/10/2020 02:00 PST,3,93.13,2.06,100,2020-01-10 02:00:00 UTC,8.58,12.84,13.58,65150.03,-51.47,58.4,56.73,12.84
KMCE,01/10/2020 08:00 PST,2,100,0,0,2020-01-10 08:00:00 UTC,11.53,17.21,18.02,65510.03,-52.77,52.27,58.4,17.21
KMCE,01/10/2020 14:00 PST,11,71.27,2.57,90,2020-01-10 14:00:00 UTC,10.73,16.93,17.93,65870.07,-51.67,50.6,59.7,16.93
KMCE,01/10/2020 20:00 PST,6,86.99,0,0,2020-01-10 20:00:00 UTC,16.2,24.8,25.98,66230.17,-53.47,62.37,48.8,24.8
KMCE,01/11/2020 02:00 PST,4,93.19,0,0,2020-01-11 02:00:00 UTC,26.77,41.56,43.61,66590.07,-51.67,58.1,53.4,39.21
KMCE,01/11/2020 08:00 PST,3,93.13,2.06,130,2020-01-11 08:00:00 UTC,16.74,25.7,27.02,66950.03,-52.37,54.57,56.83,25.7
