created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-01-01 00:00:00 UTC,14.2,21.67,22.62,52070.13,-56.93,67.07,39.73,21.67
2020-01-01 01:00:00 UTC,22.39,35.17,36.95,52130.07,-57.1,63.2,45.17,33.27
2020-01-01 02:00:00 UTC,29.34,46.3,48.66,52190.07,-56.67,60.7,49.03,41.58
2020-01-01 03:00:00 UTC,33.7,52.2,54.81,52250.03,-56.87,58.57,52.4,45.38
2020-01-01 04:00:00 UTC,30.52,49.43,52.2,52310.17,-56.83,56.9,56.03,44.12
2020-01-01 05:00:00 UTC,30.32,49.08,51.81,52370.1,-56.07,56.83,56.17,44
2020-01-01 06:00:00 UTC,44,69.99,73.7,52430.13,-56.53,56.4,55.07,54.63
2020-01-01 07:00:00 UTC,44.77,71.83,75.82,52490.1,-56.7,55.63,55.33,55.54
2020-01-01 08:00:00 UTC,34.92,56.41,59.68,52550.13,-57.83,55,57.2,48.27
2020-01-01 09:00:00 UTC,28.65,46.03,48.6,52610.2,-59.3,54.6,56.2,42.6
2020-01-01 10:00:00 UTC,27.58,44.12,46.43,52670.07,-57.53,53.17,55.97,41.69
2020-01-01 11:00:00 UTC,23.71,38.46,40.57,52730.13,-56.93,52.63,57.07,37.89
2020-01-01 12:00:00 UTC,25.06,39.76,41.9,52790.03,-58.27,52.9,58.43,38.77
2020-01-01 13:00:00 UTC,24.56,38.75,40.69,52850.03,-57.3,52.73,57.1,38.15
2020-01-01 14:00:00 UTC,23.58,37.16,39.02,52910.2,-57.2,52,56.97,36.94
2020-01-01 15:00:00 UTC,23.11,36.03,37.8,52970.1,-58.07,52.17,57.6,35.93
2020-01-01 16:00:00 UTC,25.89,40.54,42.68,53030.03,-58.67,55.17,57.8,39.12
2020-01-01 17:00:00 UTC,32.97,52.76,55.55,53090.17,-56.57,61.3,52.77,45.06
2020-01-01 18:00:00 UTC,36.46,58.29,61.3,53150.17,-56.9,67.87,44.87,46.73
2020-01-01 19:00:00 UTC,37.2,59.72,62.94,53210.07,-56.63,70.57,41.03,46.57
2020-01-01 20:00:00 UTC,35.01,56.39,59.17,53270.27,-57.03,73.33,37.77,44.61
2020-01-01 21:00:00 UTC,29.51,47.51,49.79,53330.07,-57.9,73.9,36.57,40.01
2020-01-01 22:00:00 UTC,34,54.2,56.9,53390.07,-58.2,71.9,38.2,43.66
2020-01-01 23:00:00 UTC,21.46,34.19,35.96,53450.13,-58.03,70.33,40.23,32.75
2020-01-02 00:00:00 UTC,20.5,33.64,35.32,53510.07,-58.47,68.73,43.87,32.65
2020-01-02 01:00:00 UTC,22.63,36.16,38.08,53570.23,-58.13,66.67,47.07,34.45
2020-01-02 02:00:00 UTC,20.91,33.61,35.54,53630.2,-58.03,65,49.9,32.68
2020-01-02 03:00:00 UTC,22.34,35.6,37.78,53690.2,-57.4,64.27,51.9,33.56
2020-01-02 04:00:00 UTC,18.48,29.1,30.71,53750.07,-58.5,62.73,54.23,29
2020-01-02 05:00:00 UTC,22.09,34.68,36.69,53810.07,-58.07,60.4,55.2,33.88
2020-01-02 06:00:00 UTC,28.07,44.14,46.54,53870.17,-58.57,59.83,56.83,40.44
2020-01-02 07:00:00 UTC,22.12,35.84,37.94,53930.03,-57.87,59.87,57.03,35.06
2020-01-02 08:00:00 UTC,21.84,34.91,36.91,53990.17,-58.8,60.67,57,34.24
2020-01-02 09:00:00 UTC,20.58,32.55,34.39,54050.1,-57.43,59.57,56.73,32.47
2020-01-02 10:00:00 UTC,21.73,35.65,37.74,54110.07,-58,57.43,57.57,35.22
2020-01-02 11:00:00 UTC,21.97,36.48,38.74,54170.07,-57.4,55.63,57.17,36.09
2020-01-02 12:00:00 UTC,20.74,34.5,36.54,54230.17,-58.53,53.77,56.47,34.4
2020-01-02 13:00:00 UTC,21.66,36.42,38.61,54290.07,-58.13,52.97,57.93,36.12
