# STATION: TS623,,,,,
# STATION NAME: SAN LUIS PORTABLE,,,,,
# LATITUDE: 37.066389,,,,,
# LONGITUDE: -120.803889,,,,,
# ELEVATION [ft]: 70,,,,,
# STATE: CA,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
TS623,01/01/2019 19:34 PST,3.33,90,0.9,87
TS623,01/01/2019 20:34 PST,2.22,96,0,0
TS623,01/01/2019 21:34 PST,2.78,94,0.9,65
TS623,01/01/2019 22:34 PST,1.67,100,1.34,151
TS623,01/01/2019 23:34 PST,1.67,100,1.79,86
TS623,01/02/2019 00:34 PST,1.11,100,0.9,47
TS623,01/02/2019 01:34 PST,0.56,100,1.79,87
TS623,01/02/2019 02:34 PST,0.56,100,1.34,148
TS623,01/02/2019 08:34 PST,1.67,100,2.68,129
TS623,01/02/2019 09:34 PST,3.89,92,2.23,112
TS623,01/02/2019 10:34 PST,6.67,77,1.79,99
TS623,01/02/2019 11:34 PST,8.89,63,2.23,96
TS623,01/02/2019 12:34 PST,10.56,49,2.23,100
TS623,01/02/2019 13:34 PST,11.67,45,1.79,94
TS623,01/02/2019 14:34 PST,12.22,39,1.34,64
TS623,01/02/2019 15:34 PST,12.78,35,1.34,99
TS623,01/02/2019 16:34 PST,12.22,36,0,0
TS623,01/02/2019 17:34 PST,7.78,54,1.34,53
TS623,01/02/2019 18:34 PST,5.56,74,0.9,21
TS623,01/02/2019 19:34 PST,3.89,68,1.34,342
TS623,01/02/2019 20:34 PST,3.89,79,1.34,76
TS623,01/02/2019 21:34 PST,2.78,94,1.79,179
TS623,01/02/2019 22:34 PST,2.78,99,1.79,101
TS623,01/02/2019 23:34 PST,1.67,99,0.9,82
TS623,01/03/2019 00:34 PST,1.67,100,0.9,37
TS623,01/03/2019 01:34 PST,0,100,0.45,38
TS623,01/03/2019 02:34 PST,0.56,100,0.9,64
TS623,01/03/2019 03:34 PST,-0.56,0,0.9,36
TS623,01/03/2019 08:34 PST,2.22,100,0.9,85
TS623,01/03/2019 09:34 PST,4.44,95,1.79,81
TS623,01/03/2019 10:34 PST,6.67,79,1.34,9
TS623,01/03/2019 11:34 PST,9.44,66,1.34,263
TS623,01/03/2019 12:34 PST,11.67,55,2.68,298
TS623,01/03/2019 13:34 PST,12.22,52,2.23,343
TS623,01/03/2019 14:34 PST,13.89,44,1.34,288
TS623,01/03/2019 15:34 PST,13.33,43,1.79,342
TS623,01/03/2019 16:34 PST,11.11,51,1.79,282
TS623,01/03/2019 17:34 PST,8.33,70,0.9,310
TS623,01/03/2019 18:34 PST,7.22,70,1.34,329
TS623,01/03/2019 19:34 PST,5.56,85,0,0
TS623,01/03/2019 20:34 PST,4.44,99,1.34,271
TS623,01/03/2019 21:34 PST,3.89,94,1.34,285
TS623,01/03/2019 22:34 PST,3.33,99,0.45,142
TS623,01/03/2019 23:34 PST,2.22,100,1.34,358
TS623,01/04/2019 00:34 PST,0.56,100,0.45,327
TS623,01/04/2019 01:34 PST,1.11,100,0.45,359
TS623,01/04/2019 02:34 PST,1.11,100,0.45,168
TS623,01/04/2019 03:34 PST,1.67,100,0.9,93
TS623,01/04/2019 08:34 PST,2.22,100,1.79,100
TS623,01/04/2019 09:34 PST,5.56,97,1.79,110
TS623,01/04/2019 10:34 PST,8.33,84,1.79,109
TS623,01/04/2019 11:34 PST,10.56,63,1.34,100
TS623,01/04/2019 12:34 PST,12.22,55,1.34,100
TS623,01/04/2019 13:34 PST,13.89,53,1.34,74
TS623,01/04/2019 14:34 PST,14.44,50,1.79,129
TS623,01/04/2019 15:34 PST,15,50,1.34,154
TS623,01/04/2019 16:34 PST,13.33,55,1.34,168
TS623,01/04/2019 17:34 PST,9.44,78,1.34,311
TS623,01/04/2019 18:34 PST,7.78,75,1.34,351
TS623,01/04/2019 19:34 PST,6.11,93,1.79,83
TS623,01/04/2019 20:34 PST,6.11,96,1.79,77
TS623,01/04/2019 21:34 PST,3.89,98,0.45,50
TS623,01/04/2019 22:34 PST,3.89,100,0.9,357
TS623,01/04/2019 23:34 PST,5,100,2.23,105
TS623,01/05/2019 00:34 PST,3.89,94,1.34,291
TS623,01/05/2019 01:34 PST,3.33,100,0.9,280
