Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
TS623,01/01/2019 20:34 PST,2.22,96,0,0,2020-01-01 20:00:31 UTC,368851,30.66,42.97,45.49,5968,-22,62,50
TS623,01/02/2019 02:34 PST,0.56,100,1.34,148,2020-01-02 02:00:31 UTC,369031,16.38,21.88,23.51,6328,-20,65,49
TS623,01/02/2019 08:34 PST,1.67,100,2.68,129,2020-01-02 08:00:30 UTC,369211,18.35,25.8,28.86,6688,-21,60,50
TS623,01/02/2019 14:34 PST,12.22,39,1.34,64,2020-01-02 14:00:30 UTC,369388,23.61,32.27,33.91,7048,-22,58,48
TS623,01/02/2019 20:34 PST,3.89,79,1.34,76,2020-01-02 20:00:29 UTC,369568,37.71,56.82,62.61,7408,-20,60,53
TS623,01/03/2019 02:34 PST,0.56,100,0.9,64,2020-01-03 02:00:29 UTC,369748,40.35,60.35,65.72,7768,-22,63,51
TS623,01/03/2019 08:34 PST,2.22,100,0.9,85,2020-01-03 08:00:28 UTC,369928,40.62,62.25,66.5,8128,-22,59,50
TS623,01/03/2019 14:34 PST,13.89,44,1.34,288,2020-01-03 14:00:28 UTC,370107,28.97,39.44,41.32,8488,-19,55,46
TS623,01/03/2019 20:34 PST,4.44,99,1.34,271,2020-01-03 20:00:27 UTC,370287,48.96,76.63,85.1,8848,-19,59,53
TS623,01/04/2019 02:34 PST,1.11,100,0.45,168,2020-01-04 02:00:27 UTC,370467,40.48,64.44,71.73,9208,-22,62,52
TS623,01/04/2019 08:34 PST,2.22,100,1.79,100,2020-01-04 08:00:27 UTC,370646,45.46,72.03,81.14,9568,-20,59,51
TS623,01/04/2019 14:34 PST,14.44,50,1.79,129,2020-01-04 14:00:26 UTC,370826,30.81,44.35,48.28,9928,-22,57,47
TS623,01/04/2019 20:34 PST,6.11,96,1.79,77,2020-01-04 20:00:26 UTC,371006,27.44,42.46,47.93,10288,-22,66,47
TS623,01/05/2019 02:34 PST,2.78,100,0.45,21,2020-01-05 02:00:25 UTC,371186,7.49,10.17,11.1,10648,-19,64,51
TS623,01/07/2019 14:34 PST,17.22,80,3.13,132,2020-01-07 14:00:21 UTC,372985,13.63,19.63,21.34,14248,-21,56,46
TS623,01/07/2019 20:34 PST,11.67,100,1.34,64,2020-01-07 20:00:22 UTC,373165,19.24,27.9,32.33,14608,-22,53,56
TS623,01/08/2019 02:34 PST,10.56,100,1.34,1,2020-01-08 02:00:20 UTC,373345,19.67,27.39,29.99,14968,-21,58,49
TS623,01/08/2019 14:34 PST,16.11,84,3.58,118,2020-01-08 14:00:19 UTC,373705,18.07,33.06,39.29,15688,-19,58,51
TS623,01/12/2019 14:34 PST,15.56,81,2.68,162,2020-01-12 14:00:12 UTC,376585,2.26,2.93,3.34,21448,-21,55,46
TS623,01/12/2019 20:34 PST,8.33,100,1.34,14,2020-01-12 20:00:11 UTC,376765,4.74,5.9,6.17,21808,-22,62,47
TS623,01/13/2019 02:34 PST,6.67,100,0.45,173,2020-01-13 02:00:11 UTC,376945,3.38,4.68,6.2,22168,-19,60,45
TS623,01/13/2019 08:34 PST,5.56,100,1.34,183,2020-01-13 08:00:10 UTC,377125,4.93,6.1,6.97,22528,-21,56,46
TS623,01/13/2019 14:34 PST,16.11,66,1.34,80,2020-01-13 14:00:13 UTC,377305,5.13,6.55,7.77,22888,-20,55,47
TS623,01/13/2019 20:34 PST,9.44,100,1.34,359,2020-01-13 20:01:30 UTC,377465,3.63,4.84,5.22,20,-25,62,44
TS623,01/14/2019 02:34 PST,6.67,100,0.9,256,2020-01-14 02:01:29 UTC,377645,0.94,1.84,2.04,380,-22,65,38
TS623,01/17/2019 08:34 PST,12.22,100,1.79,98,2020-01-17 08:01:23 UTC,379984,2.28,3.25,3.39,5060,-21,56,51
TS623,01/17/2019 14:34 PST,15.56,86,0.9,99,2020-01-17 14:01:23 UTC,380163,8.87,11.42,12.16,5420,-22,56,52
TS623,01/18/2019 14:34 PST,16.67,77,3.13,326,2020-01-18 14:01:21 UTC,380883,15.2,25.51,29.07,6860,-22,56,52
TS623,01/18/2019 20:34 PST,10.56,100,0,0,2020-01-18 20:01:21 UTC,381063,15.49,26.63,31.06,7220,-23,59,50
TS623,01/19/2019 02:34 PST,10.56,100,0.9,154,2020-01-19 02:01:20 UTC,381243,15.26,25.96,31.53,7580,-26,58,51
TS623,01/19/2019 08:34 PST,10,100,1.79,148,2020-01-19 08:01:20 UTC,381423,16.4,26.61,30.36,7940,-23,57,50
TS623,01/19/2019 14:34 PST,18.89,64,2.68,175,2020-01-19 14:01:19 UTC,381603,14.23,23.71,27.61,8300,-22,57,51
TS623,01/19/2019 20:34 PST,12.78,100,1.34,85,2020-01-19 20:01:19 UTC,381783,11.83,20.15,23.8,8660,-24,57,51
TS623,01/20/2019 02:34 PST,9.44,100,0.9,333,2020-01-20 02:01:18 UTC,381963,9.7,14.15,16.41,9020,-27,58,51
