Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
TS623,01/01/2021 02:34 UTC,7.78,100,0.9,190,2020-01-01 02:00:00 UTC,16.67,24.06,26.49,4892,-21.6,64,45,24.06
TS623,01/01/2021 08:34 UTC,5,100,2.23,98,2020-01-01 08:00:00 UTC,23.52,33.13,36.16,5252,-20.6,58,47,32.61
TS623,01/01/2021 14:34 UTC,3.33,100,1.79,140,2020-01-01 14:00:00 UTC,40.93,58.95,62.84,5612,-21.4,57,46.2,47.44
TS623,01/01/2021 20:34 UTC,11.67,95,3.13,128,2020-01-01 20:00:00 UTC,30.6,43.29,46.21,5972,-21.8,62.6,49.8,38.53
TS623,01/03/2020 02:34 UTC,9.44,100,1.34,89,2020-01-03 02:00:00 UTC,39.35,59.54,65.13,7772,-21.8,63,51,46.26
TS623,01/03/2020 08:34 UTC,6.67,100,1.34,94,2020-01-03 08:00:00 UTC,39.94,61.6,67.59,8132,-21.4,59,50,48.14
TS623,01/03/2020 14:34 UTC,3.89,100,2.23,111,2020-01-03 14:00:00 UTC,28.56,37.37,38.94,8492,-20,55,46,35.78
TS623,01/03/2020 20:34 UTC,8.33,100,1.79,181,2020-01-03 20:00:00 UTC,49.65,77.51,85.79,8852,-21,59,53.2,54.23
TS623,01/04/2020 02:34 UTC,7.78,100,0.45,2,2020-01-04 02:00:00 UTC,42.16,65.84,72.6,9212,-20.4,62,52,49.28
TS623,01/04/2020 08:34 UTC,4.44,100,0.9,355,2020-01-04 08:00:00 UTC,44.17,71.03,79.85,9572,-20.8,59,50.6,51.74
TS623,01/04/2020 14:34 UTC,4.44,100,1.34,66,2020-01-04 14:00:00 UTC,30.66,44.43,48.55,9932,-21,57,47,39.83
TS623,01/04/2020 20:34 UTC,15,78,3.58,313,2020-01-04 20:00:00 UTC,25.3,38.26,42.53,10292,-21.4,66,46.4,34.69
TS623,01/05/2020 02:34 UTC,11.11,94,2.23,340,2020-01-05 02:00:00 UTC,7.74,10.36,11.3,10652,-21.4,64,51,10.36
TS623,01/05/2020 08:34 UTC,8.33,100,2.23,4,2020-01-05 08:00:00 UTC,15.36,22.01,24.36,11012,-21.2,61,53.4,22.01
TS623,01/05/2020 14:34 UTC,6.11,100,2.23,343,2020-01-05 14:00:00 UTC,15.81,22.89,24.19,11372,-21.8,58,51,22.89
TS623,01/05/2020 20:34 UTC,13.89,76,4.47,338,2020-01-05 20:00:00 UTC,6.01,8.18,8.96,11732,-22.2,63,49,8.18
TS623,01/06/2020 02:34 UTC,9.44,60,2.23,302,2020-01-06 02:00:00 UTC,0.02,0.2,0.4,12092,-21.4,62.4,39,0.2
TS623,01/06/2020 08:34 UTC,7.22,94,1.79,39,2020-01-06 08:00:00 UTC,3.08,4.2,4.72,12452,-22.4,58.4,45.4,4.2
TS623,01/06/2020 14:34 UTC,4.44,100,0.45,209,2020-01-06 14:00:00 UTC,13.83,18.07,18.95,12812,-20.8,54,42,18.07
TS623,01/06/2020 20:34 UTC,6.67,100,0.9,108,2020-01-06 20:00:00 UTC,14.75,23.59,27.06,13172,-21.8,54.6,56.4,23.59
TS623,01/07/2020 02:34 UTC,6.11,100,1.34,320,2020-01-07 02:00:00 UTC,17.95,27.9,31.21,13532,-21,60,47,27.9
TS623,01/07/2020 08:34 UTC,3.33,100,1.34,86,2020-01-07 08:00:00 UTC,12.62,16.61,17.92,13892,-21.6,56,45,16.61
TS623,01/07/2020 14:34 UTC,3.89,100,1.79,158,2020-01-07 14:00:00 UTC,14.07,19.25,20.49,14252,-20.8,56,46,19.25
TS623,01/07/2020 20:34 UTC,5.56,100,2.23,138,2020-01-07 20:00:00 UTC,19.74,29.33,32.33,14612,-22.2,53,56.4,29.3
TS623,01/08/2020 02:34 UTC,5.56,100,1.34,135,2020-01-08 02:00:00 UTC,20.06,28.68,31.64,14972,-21,58,49,28.66
TS623,01/08/2020 08:34 UTC,5.56,100,0.9,26,2020-01-08 08:00:00 UTC,17.85,29.03,33.12,15332,-22.8,58,48.6,28.99
TS623,01/08/2020 14:34 UTC,5.56,100,0.9,281,2020-01-08 14:00:00 UTC,18.86,32.92,37.73,15692,-20,58,51,32.41
TS623,01/08/2020 20:34 UTC,10.56,100,0.9,119,2020-01-08 20:00:00 UTC,14.29,23.53,27.1,16052,-21,60,52,23.53
TS623,01/09/2020 02:34 UTC,9.44,100,1.79,150,2020-01-09 02:00:00 UTC,13.03,21.19,23.59,16412,-21.8,63,48.2,21.19
TS623,01/09/2020 08:34 UTC,8.33,100,2.23,117,2020-01-09 08:00:00 UTC,13.29,19.99,23.35,16772,-22.4,59,50,19.99
TS623,01/09/2020 14:34 UTC,6.67,100,3.13,127,2020-01-09 14:00:00 UTC,16.7,24.86,28.32,17132,-22.2,57,51,24.86
TS623,01/09/2020 20:34 UTC,9.44,100,3.13,104,2020-01-09 20:00:00 UTC,20.88,34.03,38.77,17492,-23.2,57,61.8,33.18
TS623,01/10/2020 02:34 UTC,7.22,100,4.02,303,2020-01-10 02:00:00 UTC,10.37,15.85,17.43,17852,-22,59,53.8,15.85
TS623,01/10/2020 08:34 UTC,5.56,100,1.34,106,2020-01-10 08:00:00 UTC,3.84,4.83,5.47,18212,-21.4,55,50,4.83
TS623,01/10/2020 14:34 UTC,5.56,100,0.45,53,2020-01-10 14:00:00 UTC,6.32,9.11,9.68,18572,-21.6,53.4,47.8,9.11
TS623,01/10/2020 20:34 UTC,10.56,100,1.34,115,2020-01-10 20:00:00 UTC,14.63,19.73,21.31,18932,-23.2,59,53.8,19.73
TS623,01/11/2020 02:34 UTC,8.33,97,1.34,54,2020-01-11 02:00:00 UTC,13.7,18.22,19.37,19292,-22,61,47.2,18.22
TS623,01/11/2020 08:34 UTC,5,100,1.79,135,2020-01-11 08:00:00 UTC,16.87,22.38,23.98,19652,-23,56,48,22.38
TS623,01/11/2020 14:34 UTC,3.89,100,1.34,67,2020-01-11 14:00:00 UTC,14.18,18.62,19.94,20012,-21.8,55,49,18.62
TS623,01/11/2020 20:34 UTC,13.33,72,2.68,327,2020-01-11 20:00:00 UTC,11.17,14.87,15.91,20372,-23,62,52.2,14.87
TS623,01/12/2020 02:34 UTC,8.33,81,2.68,308,2020-01-12 02:00:00 UTC,0.9,1.57,1.92,20732,-22.2,62,45,1.57
TS623,01/12/2020 08:34 UTC,4.44,98,0.9,355,2020-01-12 08:00:00 UTC,2.25,2.92,3.65,21092,-22,57,46,2.92
TS623,01/12/2020 14:34 UTC,1.67,100,0.45,222,2020-01-12 14:00:00 UTC,2.08,2.89,3.43,21452,-21.6,54.6,45.4,2.89
TS623,01/12/2020 20:34 UTC,11.67,72,2.23,317,2020-01-12 20:00:00 UTC,4.72,6.25,6.88,21812,-22.4,62,47,6.25
TS623,01/13/2020 02:34 UTC,6.11,96,0.9,289,2020-01-13 02:00:00 UTC,3.05,4.24,5.11,22172,-21.8,60,45,4.24
TS623,01/13/2020 08:34 UTC,4.44,100,0.9,131,2020-01-13 08:00:00 UTC,4.7,6.21,7.28,22532,-22,56,46,6.21
TS623,01/13/2020 14:34 UTC,2.22,100,1.79,69,2020-01-13 14:00:00 UTC,5.11,6.79,7.46,22892,-22.2,55,47,6.79
TS623,01/13/2020 20:34 UTC,13.33,62,0.9,101,2020-01-13 20:00:00 UTC,3.69,4.73,5.16,24,-23.2,62.2,44,4.73
TS623,01/14/2020 02:34 UTC,8.89,81,0.9,275,2020-01-14 02:00:00 UTC,0.95,1.67,1.95,384,-22.4,65,38,1.67
TS623,01/14/2020 08:34 UTC,5.56,100,1.34,142,2020-01-14 08:00:00 UTC,11.47,14.09,14.99,744,-23,58,44,14.09
TS623,01/14/2020 14:34 UTC,6.11,100,1.34,166,2020-01-14 14:00:00 UTC,19.28,23.76,24.86,1104,-22.4,57,48,23.76
TS623,01/14/2020 20:34 UTC,12.78,70,2.68,330,2020-01-14 20:00:00 UTC,11.9,16.47,18.19,1464,-24.8,60,51.2,16.47
TS623,01/15/2020 02:34 UTC,6.67,78,0.9,290,2020-01-15 02:00:00 UTC,0.27,0.74,1.29,1824,-25.8,61,39,0.74
