Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
MPOC1,01/01/2019 20:07 PST,0,97,2.23,357,2020-01-01 20:00:00 UTC,8.07,11.49,12.04,42107,-62.37,68.07,33.67,11.49
MPOC1,01/02/2019 02:07 PST,-1.11,100,2.68,356,2020-01-02 02:00:00 UTC,19.27,27.41,29.11,42467,-61.07,58.57,46.13,27.4
MPOC1,01/02/2019 08:07 PST,-1.11,99,1.34,350,2020-01-02 08:00:00 UTC,17.43,25.12,26.78,42827,-60.1,51.93,50.4,25.12
MPOC1,01/02/2019 14:07 PST,11.11,39,2.23,177,2020-01-02 14:00:00 UTC,10.38,14.9,16.01,43187,-60.8,50.17,51.6,14.9
MPOC1,01/02/2019 20:07 PST,0.56,71,2.68,356,2020-01-02 20:00:00 UTC,25.15,40.77,44.35,43547,-60.6,62,45.5,38.4
MPOC1,01/03/2019 02:07 PST,0,64,3.13,352,2020-01-03 02:00:00 UTC,34.56,57.25,62.08,43907,-60.53,59.4,50.5,48.51
MPOC1,01/03/2019 08:07 PST,1.11,59,2.23,351,2020-01-03 08:00:00 UTC,30.37,51.74,56.97,44267,-60.93,58.97,50.73,45.47
MPOC1,01/03/2019 14:07 PST,14.44,26,1.34,191,2020-01-03 14:00:00 UTC,5.06,7.13,7.6,44627,-59.83,52.3,49.43,7.13
MPOC1,01/03/2019 20:07 PST,3.89,62,1.79,354,2020-01-03 20:00:00 UTC,1.91,2.61,2.75,44987,-62.23,72.53,22.67,2.61
MPOC1,01/04/2019 02:07 PST,1.67,76,2.68,358,2020-01-04 02:00:00 UTC,0.71,1.07,1.16,45347,-61.77,62.23,29.6,1.07
MPOC1,01/04/2019 08:07 PST,2.78,67,2.68,357,2020-01-04 08:00:00 UTC,0.06,0.3,0.42,45707,-62.93,57.43,32.6,0.3
MPOC1,01/04/2019 14:07 PST,16.11,34,2.68,190,2020-01-04 14:00:00 UTC,0.64,0.98,1.08,46067,-63.53,54.2,37.47,0.98
MPOC1,01/04/2019 20:07 PST,3.33,63,3.58,356,2020-01-04 20:00:00 UTC,2.84,3.83,4.05,46427,-59.17,73.5,24.2,3.83
MPOC1,01/05/2019 02:07 PST,4.44,60,2.68,352,2020-01-05 02:00:00 UTC,9.15,13.3,14.23,46787,-62.33,62.37,41.47,13.3
MPOC1,01/05/2019 08:07 PST,5.56,62,0.45,245,2020-01-05 08:00:00 UTC,10.54,15.56,16.84,47147,-62.7,53.53,48.4,15.56
MPOC1,01/05/2019 14:07 PST,8.33,51,2.23,184,2020-01-05 14:00:00 UTC,8.8,12.9,13.9,47507,-61.8,53.8,50.37,12.9
MPOC1,01/05/2019 20:07 PST,5,100,0.9,168,2020-01-05 20:00:00 UTC,7.76,10.54,11.17,47867,-62.33,66.33,39.77,10.54
MPOC1,01/06/2019 02:07 PST,5.56,100,0.9,117,2020-01-06 02:00:00 UTC,3.8,5.47,5.84,48227,-63.23,58.57,31.8,5.47
MPOC1,01/06/2019 08:07 PST,2.78,100,0.45,9,2020-01-06 08:00:00 UTC,4.87,6.71,7.23,48587,-62.7,50.53,43.97,6.71
MPOC1,01/06/2019 14:07 PST,6.11,90,3.13,156,2020-01-06 14:00:00 UTC,6.96,10.5,11.35,48947,-64.97,53.13,48.47,10.5
MPOC1,01/06/2019 20:07 PST,5,100,3.58,164,2020-01-06 20:00:00 UTC,10.2,14.48,15.62,49307,-61.33,67.33,33.6,14.48
MPOC1,01/07/2019 02:07 PST,8.33,100,2.68,152,2020-01-07 02:00:00 UTC,11.71,16.13,17.15,49667,-59.77,57.43,43.47,16.13
MPOC1,01/07/2019 08:07 PST,8.89,100,0.9,24,2020-01-07 08:00:00 UTC,2.01,3.15,3.4,50027,-62.33,51.87,37.67,3.15
MPOC1,01/07/2019 14:07 PST,12.78,85,1.34,157,2020-01-07 14:00:00 UTC,0.11,0.31,0.37,50387,-62.83,52.8,29.67,0.31
MPOC1,01/07/2019 20:07 PST,8.33,100,1.79,343,2020-01-07 20:00:00 UTC,5.78,7.28,7.52,50747,-59.43,73,23.43,7.28
MPOC1,01/08/2019 02:07 PST,8.89,94,0.45,356,2020-01-08 02:00:00 UTC,0.99,1.37,1.54,51107,-63.33,58.17,27.6,1.37
MPOC1,01/08/2019 08:07 PST,7.78,93,2.68,353,2020-01-08 08:00:00 UTC,9.29,13.86,14.99,51467,-66,51.9,40.9,13.86
MPOC1,01/08/2019 14:07 PST,15,52,2.23,163,2020-01-08 14:00:00 UTC,17.42,23.77,25.02,51827,-65.2,50.53,43.9,23.77
MPOC1,01/08/2019 20:07 PST,8.89,90,0.9,348,2020-01-08 20:00:00 UTC,1.7,2.48,2.66,52187,-63.17,57.97,43.57,2.48
MPOC1,01/09/2019 02:07 PST,10.56,80,0.9,146,2020-01-09 02:00:00 UTC,6.85,10.93,12.05,52547,-62.43,54.93,48.13,10.93
MPOC1,01/09/2019 08:07 PST,8.89,100,0.45,122,2020-01-09 08:00:00 UTC,11.09,19.28,21.46,52907,-61.03,52.97,51.2,19.28
MPOC1,01/09/2019 14:07 PST,10.56,91,2.23,211,2020-01-09 14:00:00 UTC,6.6,11.24,12.52,53267,-61.33,51.43,52.47,11.24
MPOC1,01/09/2019 20:07 PST,8.89,100,0.45,332,2020-01-09 20:00:00 UTC,2.92,4.45,4.81,53627,-62,56.03,49.03,4.45
MPOC1,01/10/2019 02:07 PST,6.67,100,2.23,345,2020-01-10 02:00:00 UTC,7.26,9.26,9.67,53987,-65.03,54,50.63,9.26
MPOC1,01/10/2019 08:07 PST,5,100,2.68,351,2020-01-10 08:00:00 UTC,6.4,8.18,8.64,54347,-63.37,47.57,52.23,8.18
MPOC1,01/10/2019 14:07 PST,15.56,67,0.9,262,2020-01-10 14:00:00 UTC,4.86,7.17,7.77,54707,-67.9,45.8,52.97,7.17
MPOC1,01/10/2019 20:07 PST,8.89,100,0.9,9,2020-01-10 20:00:00 UTC,5.91,8.06,8.6,55067,-62.87,62.9,35.1,8.06
MPOC1,01/11/2019 02:07 PST,3.89,100,2.23,348,2020-01-11 02:00:00 UTC,9.33,12.93,13.73,55427,-59.27,57.2,45.87,12.93
MPOC1,01/11/2019 08:07 PST,5,90,2.68,357,2020-01-11 08:00:00 UTC,8.98,12.06,12.87,55787,-65.5,50.57,49.67,12.06
MPOC1,01/11/2019 14:07 PST,16.67,33,2.23,160,2020-01-11 14:00:00 UTC,8.03,10.41,10.95,56147,-64.57,50.8,49.63,10.41
MPOC1,01/11/2019 20:07 PST,6.11,71,3.13,353,2020-01-11 20:00:00 UTC,4.5,6.17,6.49,56507,-65.87,61.47,39.77,6.17
MPOC1,01/12/2019 02:07 PST,5,81,2.68,353,2020-01-12 02:00:00 UTC,1.86,2.8,3.11,56867,-64.33,55.13,44.83,2.8
MPOC1,01/12/2019 08:07 PST,4.44,92,2.68,350,2020-01-12 08:00:00 UTC,2.67,3.85,4.17,57227,-63.53,50.37,49.2,3.85
MPOC1,01/12/2019 14:07 PST,12.78,57,1.34,191,2020-01-12 14:00:00 UTC,5.79,7.93,8.42,57587,-64.63,47.13,52.73,7.93
MPOC1,01/12/2019 20:07 PST,4.44,96,3.13,357,2020-01-12 20:00:00 UTC,4.17,5.85,6.15,57947,-65.97,58.93,40.8,5.85
