created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-01-01 00:00:00 UTC,11.25,15.92,16.94,40907,-60.33,62.93,38.87,15.92
2020-01-01 01:00:00 UTC,11.47,15.9,16.88,40967,-60.5,59.57,42.47,15.9
2020-01-01 02:00:00 UTC,10.51,14.74,15.6,41027,-60.83,56.13,45.4,14.72
2020-01-01 03:00:00 UTC,9.81,13.51,14.27,41087,-60.63,54.67,46.63,13.51
2020-01-01 04:00:00 UTC,10.12,13.72,14.6,41147,-59.43,53.83,48.3,13.72
2020-01-01 05:00:00 UTC,11.35,15.32,16.09,41207,-59.73,53.67,48.3,15.32
2020-01-01 06:00:00 UTC,8.5,11.33,12.01,41267,-62.07,53.67,48.53,11.33
2020-01-01 07:00:00 UTC,6.54,8.77,9.29,41327,-62.3,52.63,49.27,8.77
2020-01-01 08:00:00 UTC,5.25,6.85,7.23,41387,-62.13,53.03,46.97,6.85
2020-01-01 09:00:00 UTC,4.88,6.41,6.75,41447,-62.03,52.17,47.6,6.41
2020-01-01 10:00:00 UTC,4.75,6.19,6.55,41507,-62,51.43,47.73,6.19
2020-01-01 11:00:00 UTC,2.49,3.43,3.71,41567,-61.83,51.3,47.4,3.43
2020-01-01 12:00:00 UTC,0.91,1.3,1.41,41627,-62.33,51.6,46.57,1.3
2020-01-01 13:00:00 UTC,0.75,1.14,1.26,41687,-62.4,50.87,46.77,1.14
2020-01-01 14:00:00 UTC,0.57,0.86,0.98,41747,-63.6,51,46.2,0.86
2020-01-01 15:00:00 UTC,0.97,1.39,1.58,41807,-63.23,50.93,46.13,1.39
2020-01-01 16:00:00 UTC,1.87,2.68,2.91,41867,-63.5,56.4,41.9,2.68
2020-01-01 17:00:00 UTC,3.37,4.88,5.25,41927,-64.8,59.67,40.23,4.88
2020-01-01 18:00:00 UTC,1.45,1.96,2.08,41987,-64.77,64.77,30.57,1.96
2020-01-01 19:00:00 UTC,5.89,7.69,8.12,42047,-64.37,65.03,34.57,7.69
2020-01-01 20:00:00 UTC,8.07,11.49,12.04,42107,-62.37,68.07,33.67,11.49
2020-01-01 21:00:00 UTC,8.33,11.67,12.29,42167,-61.7,67.17,34.4,11.67
2020-01-01 22:00:00 UTC,12.22,17.35,18.51,42227,-62.53,65.6,38.4,17.35
2020-01-01 23:00:00 UTC,18.82,27.93,29.86,42287,-64.2,63.2,41.97,27.9
2020-01-02 00:00:00 UTC,20.64,31.5,33.79,42347,-61.2,60.33,45.33,31.44
2020-01-02 01:00:00 UTC,22.07,32.28,34.12,42407,-60.77,59.83,45.23,32.15
2020-01-02 02:00:00 UTC,19.27,27.41,29.11,42467,-61.07,58.57,46.13,27.4
2020-01-02 03:00:00 UTC,20.49,28.73,30.67,42527,-59.83,57.4,47,28.7
2020-01-02 04:00:00 UTC,16.38,23.25,24.42,42587,-61.17,56.4,47.5,23.25
2020-01-02 05:00:00 UTC,19.03,26.79,28.33,42647,-60.27,55.2,48.53,26.79
2020-01-02 06:00:00 UTC,19.01,26.82,28.34,42707,-60.63,54.17,48.83,26.82
2020-01-02 07:00:00 UTC,17.72,25.16,26.7,42767,-60.97,53,49.5,25.16
2020-01-02 08:00:00 UTC,17.43,25.12,26.78,42827,-60.1,51.93,50.4,25.12
2020-01-02 09:00:00 UTC,17.87,26.14,27.75,42887,-60.33,51.77,51.2,26.14
2020-01-02 10:00:00 UTC,15.5,21.9,23.34,42947,-60.67,51.7,51.23,21.9
2020-01-02 11:00:00 UTC,10.24,14.38,15.1,43007,-60.9,50.77,51.8,14.38
2020-01-02 12:00:00 UTC,10.23,14.15,15.01,43067,-60.47,50.23,51.63,14.15
2020-01-02 13:00:00 UTC,12.74,18.29,19.48,43127,-60.43,50.23,51.63,18.29
2020-01-02 14:00:00 UTC,10.38,14.9,16.01,43187,-60.8,50.17,51.6,14.9
2020-01-02 15:00:00 UTC,10.93,16.45,17.56,43247,-61.67,50.13,52.67,16.45
2020-01-02 16:00:00 UTC,14.84,23.09,25,43307,-61.27,52.87,54.83,23.08
2020-01-02 17:00:00 UTC,22.8,36.81,39.89,43367,-61.57,55.93,52.93,36.01
2020-01-02 18:00:00 UTC,26.13,43.04,46.58,43427,-63.97,59.53,48.53,40.13
2020-01-02 19:00:00 UTC,26.35,43.62,47.47,43487,-64.23,60.07,48.4,40.43
2020-01-02 20:00:00 UTC,25.15,40.77,44.35,43547,-60.6,62,45.5,38.4
2020-01-02 21:00:00 UTC,26.6,42.95,46.45,43607,-60.4,62.53,45.4,39.65
2020-01-02 22:00:00 UTC,25.03,40.39,43.7,43667,-61.83,64.5,42.7,37.88
2020-01-02 23:00:00 UTC,28.05,45.04,48.82,43727,-62.93,61.7,46.2,41.03
2020-01-03 00:00:00 UTC,30.51,50.35,54.93,43787,-61.67,60.03,49.13,44.54
2020-01-03 01:00:00 UTC,32.14,53.21,58.01,43847,-61.37,59.83,49.57,46.3
2020-01-03 02:00:00 UTC,34.56,57.25,62.08,43907,-60.53,59.4,50.5,48.51
2020-01-03 03:00:00 UTC,36.83,62.83,68.85,43967,-59.97,58.5,51.93,51.48
2020-01-03 04:00:00 UTC,37.09,63.74,70.35,44027,-59.9,58.1,52.13,51.95
2020-01-03 05:00:00 UTC,36.4,62.56,68.96,44087,-61.9,59,51.53,51.29
2020-01-03 06:00:00 UTC,36.21,62.26,68.64,44147,-61.03,59,51,51.14
2020-01-03 07:00:00 UTC,34.64,59.14,65.26,44207,-61.53,58.73,51.07,49.59
2020-01-03 08:00:00 UTC,30.37,51.74,56.97,44267,-60.93,58.97,50.73,45.47
2020-01-03 09:00:00 UTC,21.93,36.49,39.81,44327,-61.7,57.6,48.9,36.02
2020-01-03 10:00:00 UTC,17.06,27.48,30.1,44387,-62.03,55.5,49,27.46
2020-01-03 11:00:00 UTC,9.05,13.54,14.59,44447,-61.7,54.33,49.13,13.54
2020-01-03 12:00:00 UTC,7.82,11.63,12.47,44507,-61.1,53.6,49,11.63
2020-01-03 13:00:00 UTC,6.57,9.49,10.13,44567,-60.93,52.3,49.93,9.49
2020-01-03 14:00:00 UTC,5.06,7.13,7.6,44627,-59.83,52.3,49.43,7.13
2020-01-03 15:00:00 UTC,5.43,7.82,8.29,44687,-59.83,51.73,49.97,7.82
2020-01-03 16:00:00 UTC,5.22,7.25,7.66,44747,-61.33,55.47,48.3,7.25
2020-01-03 17:00:00 UTC,5.47,7.6,7.99,44807,-64.03,60.8,38.43,7.6
2020-01-03 18:00:00 UTC,4.27,5.88,6.22,44867,-62.83,66.33,31.4,5.88
2020-01-03 19:00:00 UTC,2.68,3.59,3.77,44927,-62.97,71.03,25.07,3.59
2020-01-03 20:00:00 UTC,1.91,2.61,2.75,44987,-62.23,72.53,22.67,2.61
2020-01-03 21:00:00 UTC,1.06,1.45,1.57,45047,-58.57,74.9,19.9,1.45
2020-01-03 22:00:00 UTC,0.39,0.74,0.78,45107,-57.87,75.27,18.13,0.74
2020-01-03 23:00:00 UTC,0.7,1.09,1.14,45167,-58.8,76,18.27,1.09
2020-01-04 00:00:00 UTC,1.12,1.59,1.75,45227,-60.53,72.13,21.6,1.59
2020-01-04 01:00:00 UTC,1.07,1.62,1.78,45287,-65.4,65.93,27.93,1.62
2020-01-04 02:00:00 UTC,0.71,1.07,1.16,45347,-61.77,62.23,29.6,1.07
2020-01-04 03:00:00 UTC,0.15,0.34,0.44,45407,-61.1,60.47,29.87,0.34
2020-01-04 04:00:00 UTC,1.47,2.07,2.24,45467,-62.93,59.13,32.27,2.07
2020-01-04 05:00:00 UTC,1.06,1.48,1.65,45527,-61.3,58.57,33.07,1.48
2020-01-04 06:00:00 UTC,0.16,0.46,0.58,45587,-61.63,57.4,33.1,0.46
2020-01-04 07:00:00 UTC,0.05,0.28,0.35,45647,-62.47,57.6,32.17,0.28
2020-01-04 08:00:00 UTC,0.06,0.3,0.42,45707,-62.93,57.43,32.6,0.3
2020-01-04 09:00:00 UTC,0.06,0.28,0.35,45767,-64.03,57.17,33.23,0.28
2020-01-04 10:00:00 UTC,0.07,0.32,0.43,45827,-63.53,55.77,34.5,0.32
2020-01-04 11:00:00 UTC,0.18,0.54,0.58,45887,-62.97,55.57,34.6,0.54
2020-01-04 12:00:00 UTC,0.09,0.37,0.43,45947,-63.13,55.37,34.67,0.37
2020-01-04 13:00:00 UTC,0.24,0.56,0.66,46007,-63.8,54.77,36.1,0.56
2020-01-04 14:00:00 UTC,0.64,0.98,1.08,46067,-63.53,54.2,37.47,0.98
2020-01-04 15:00:00 UTC,0.75,1.1,1.26,46127,-62,54.27,39.5,1.1
