# STATION: KMCE,,,,,
# STATION NAME: Merced Regional Airport,,,,,
# LATITUDE: 37.28306,,,,,
# LONGITUDE: -120.50778,,,,,
# ELEVATION [ft]: 154,,,,,
# STATE: CA,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
KMCE,09/27/2020 22:00 UTC,32,29.55,2.06,50
KMCE,09/27/2020 22:05 UTC,32,29.55,0,0
KMCE,09/27/2020 22:10 UTC,32,29.55,0,0
KMCE,09/27/2020 22:15 UTC,32,29.55,1.54,290
KMCE,09/27/2020 22:20 UTC,33,27.93,3.09,20
KMCE,09/27/2020 22:25 UTC,33,27.93,0,0
KMCE,09/27/2020 22:30 UTC,32,29.55,0,0
KMCE,09/27/2020 22:35 UTC,32,27.66,1.54,350
KMCE,09/27/2020 22:40 UTC,33,26.15,2.06,100
KMCE,09/27/2020 22:45 UTC,32,27.66,2.06,110
KMCE,09/27/2020 22:50 UTC,32,27.66,2.06,170
KMCE,09/27/2020 22:53 UTC,32.8,26.62,2.06,50
KMCE,09/27/2020 22:55 UTC,33,26.15,2.06,50
KMCE,09/27/2020 23:00 UTC,33,26.15,1.54,70
KMCE,09/27/2020 23:05 UTC,33,26.15,1.54,360
KMCE,09/27/2020 23:10 UTC,33,26.15,1.54,30
KMCE,09/27/2020 23:15 UTC,33,26.15,2.06,350
KMCE,09/27/2020 23:20 UTC,33,26.15,1.54,10
KMCE,09/27/2020 23:25 UTC,33,27.93,0,0
KMCE,09/27/2020 23:30 UTC,33,27.93,1.54,290
KMCE,09/27/2020 23:35 UTC,33,27.93,2.06,10
KMCE,09/27/2020 23:40 UTC,33,27.93,1.54,40
KMCE,09/27/2020 23:45 UTC,33,27.93,1.54,80
KMCE,09/27/2020 23:50 UTC,33,27.93,0,0
KMCE,09/27/2020 23:53 UTC,32.8,27.7,0,0
KMCE,09/27/2020 23:55 UTC,33,27.93,0,0
KMCE,09/28/2020 00:00 UTC,33,27.93,0,0
KMCE,09/28/2020 00:05 UTC,33,27.93,0,0
KMCE,09/28/2020 00:10 UTC,33,26.15,2.06,20
KMCE,09/28/2020 00:15 UTC,33,26.15,0,0
KMCE,09/28/2020 00:20 UTC,33,26.15,0,0
KMCE,09/28/2020 00:25 UTC,33,26.15,0,0
KMCE,09/28/2020 00:30 UTC,32,29.55,1.54,310
KMCE,09/28/2020 00:35 UTC,32,29.55,1.54,270
KMCE,09/28/2020 00:40 UTC,32,31.55,2.06,280
KMCE,09/28/2020 00:45 UTC,32,29.55,2.06,280
KMCE,09/28/2020 00:50 UTC,32,29.55,1.54,290
KMCE,09/28/2020 00:53 UTC,32.2,28.65,2.06,270
KMCE,09/28/2020 00:55 UTC,32,29.55,2.06,280
KMCE,09/28/2020 01:00 UTC,32,29.55,1.54,290
KMCE,09/28/2020 01:05 UTC,32,29.55,1.54,300
KMCE,09/28/2020 01:10 UTC,32,29.55,2.06,300
KMCE,09/28/2020 01:15 UTC,32,29.55,2.06,310
KMCE,09/28/2020 01:20 UTC,31,31.27,1.54,310
KMCE,09/28/2020 01:25 UTC,31,31.27,2.06,310
KMCE,09/28/2020 01:30 UTC,31,33.39,2.06,310
KMCE,09/28/2020 01:35 UTC,30,35.35,2.06,310
KMCE,09/28/2020 01:40 UTC,30,35.35,1.54,310
KMCE,09/28/2020 01:45 UTC,29,37.44,2.06,310
KMCE,09/28/2020 01:50 UTC,29,37.44,2.06,310
KMCE,09/28/2020 01:53 UTC,29.4,37.31,1.54,300
KMCE,09/28/2020 01:55 UTC,29,37.44,1.54,310
KMCE,09/28/2020 02:00 UTC,29,37.44,1.54,300
KMCE,09/28/2020 02:05 UTC,29,37.44,2.06,300
KMCE,09/28/2020 02:10 UTC,29,37.44,1.54,310
KMCE,09/28/2020 02:15 UTC,28,39.68,1.54,320
KMCE,09/28/2020 02:20 UTC,28,39.68,1.54,310
KMCE,09/28/2020 02:25 UTC,28,39.68,2.06,320
KMCE,09/28/2020 02:30 UTC,27,42.06,2.06,340
KMCE,09/28/2020 02:35 UTC,26,44.61,2.06,340
KMCE,09/28/2020 02:40 UTC,26,44.61,2.57,340
KMCE,09/28/2020 02:45 UTC,26,47.61,2.57,340
KMCE,09/28/2020 02:50 UTC,26,47.61,2.57,340
KMCE,09/28/2020 02:53 UTC,26.1,47.02,2.06,340
KMCE,09/28/2020 02:55 UTC,26,47.61,2.06,340
KMCE,09/28/2020 03:00 UTC,26,47.61,2.06,340
KMCE,09/28/2020 03:05 UTC,27,44.89,2.06,330
KMCE,09/28/2020 03:10 UTC,27,44.89,2.06,320
KMCE,09/28/2020 03:15 UTC,27,44.89,1.54,330
KMCE,09/28/2020 03:20 UTC,27,44.89,1.54,320
KMCE,09/28/2020 03:25 UTC,26,47.61,2.06,320
KMCE,09/28/2020 03:30 UTC,26,47.61,2.06,320
KMCE,09/28/2020 03:35 UTC,26,47.61,2.06,320
