# STATION: TS623,0,0,0,0,0
# STATION NAME: SAN LUIS PORTABLE,0,0,0,0,0
# LATITUDE: 37.066389,0,0,0,0,0
# LONGITUDE: -120.803889,0,0,0,0,0
# ELEVATION [ft]: 70,0,0,0,0,0
# STATE: CA,0,0,0,0,0
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
0,0,Celsius,%,m/s,Degrees
TS623,01/02/2020 21:34 UTC,13.89,73,3.13,10
TS623,01/02/2020 22:34 UTC,13.33,87,1.79,133
TS623,01/02/2020 23:34 UTC,13.33,82,2.23,112
TS623,01/03/2020 00:34 UTC,12.22,85,1.79,127
TS623,01/03/2020 01:34 UTC,10,100,0.9,146
TS623,01/03/2020 02:34 UTC,9.44,100,1.34,89
TS623,01/03/2020 03:34 UTC,8.33,100,0.9,112
TS623,01/03/2020 04:34 UTC,7.78,100,1.79,92
TS623,01/03/2020 05:34 UTC,7.78,100,1.79,90
TS623,01/03/2020 06:34 UTC,7.22,100,1.79,98
TS623,01/03/2020 07:34 UTC,6.67,100,1.34,86
TS623,01/03/2020 08:34 UTC,6.67,100,1.34,94
TS623,01/03/2020 09:34 UTC,5.56,100,1.34,136
TS623,01/03/2020 10:34 UTC,6.11,100,1.34,115
TS623,01/03/2020 11:34 UTC,5.56,100,1.79,99
TS623,01/03/2020 12:34 UTC,5,100,0.9,113
TS623,01/03/2020 13:34 UTC,3.89,100,2.68,100
TS623,01/03/2020 14:34 UTC,3.89,100,2.23,111
TS623,01/03/2020 15:34 UTC,3.89,100,2.23,141
TS623,01/03/2020 16:34 UTC,5,100,2.23,110
TS623,01/03/2020 17:34 UTC,6.11,100,2.23,119
TS623,01/03/2020 18:34 UTC,6.67,100,2.23,163
TS623,01/03/2020 19:34 UTC,7.78,100,2.23,136
TS623,01/03/2020 20:34 UTC,8.33,100,1.79,181
TS623,01/03/2020 21:34 UTC,10,100,1.79,130
TS623,01/03/2020 22:34 UTC,12.22,100,2.23,184
TS623,01/03/2020 23:34 UTC,13.89,85,1.79,162
TS623,01/04/2020 00:34 UTC,13.33,84,1.34,222
TS623,01/04/2020 01:34 UTC,10.56,100,0.9,62
TS623,01/04/2020 02:34 UTC,7.78,100,0.45,2
TS623,01/04/2020 03:34 UTC,8.89,100,1.34,100
TS623,01/04/2020 04:34 UTC,8.33,100,2.23,94
TS623,01/04/2020 05:34 UTC,7.78,100,1.79,83
TS623,01/04/2020 06:34 UTC,6.67,100,0.9,18
TS623,01/04/2020 07:34 UTC,6.67,100,1.34,66
TS623,01/04/2020 08:34 UTC,4.44,100,0.9,355
TS623,01/04/2020 09:34 UTC,6.11,100,0.9,49
TS623,01/04/2020 10:34 UTC,5.56,100,1.34,355
TS623,01/04/2020 11:34 UTC,6.11,100,0.45,324
TS623,01/04/2020 12:34 UTC,4.44,100,0.9,58
TS623,01/04/2020 13:34 UTC,3.89,100,0.9,250
TS623,01/04/2020 14:34 UTC,4.44,100,1.34,66
TS623,01/04/2020 15:34 UTC,4.44,100,1.79,74
TS623,01/04/2020 16:34 UTC,6.67,100,1.34,148
TS623,01/04/2020 17:34 UTC,10,100,1.34,197
TS623,01/04/2020 18:34 UTC,11.67,100,1.34,235
TS623,01/04/2020 19:34 UTC,13.89,86,3.13,283
TS623,01/04/2020 20:34 UTC,15,78,3.58,313
TS623,01/04/2020 21:34 UTC,16.11,77,5.37,311
TS623,01/04/2020 22:34 UTC,16.67,75,4.92,331
TS623,01/04/2020 23:34 UTC,16.11,75,4.92,321
TS623,01/05/2020 00:34 UTC,15,76,3.58,340
TS623,01/05/2020 01:34 UTC,12.78,85,2.68,351
TS623,01/05/2020 02:34 UTC,11.11,94,2.23,340
TS623,01/05/2020 03:34 UTC,9.44,100,2.23,285
TS623,01/05/2020 04:34 UTC,10,100,3.13,290
TS623,01/05/2020 05:34 UTC,9.44,100,3.13,275
TS623,01/05/2020 06:34 UTC,10,100,2.68,299
TS623,01/05/2020 07:34 UTC,8.89,100,2.23,25
TS623,01/05/2020 08:34 UTC,8.33,100,2.23,4
TS623,01/05/2020 09:34 UTC,7.22,100,1.34,0
TS623,01/05/2020 10:34 UTC,6.11,100,1.79,328
