created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-10-30 00:00:00 UTC,18.1,22.05,23.67,3155,-19,82,16,22.05
2020-10-30 00:10:00 UTC,19.49,24.69,27.85,3165,-22.8,82,16.8,24.69
2020-10-30 00:20:00 UTC,18.41,23.14,25.38,3175,-22.4,81.2,18.8,23.14
2020-10-30 00:30:00 UTC,18.37,22.18,23.78,3185,-22,81,21,22.18
2020-10-30 00:40:00 UTC,18.72,22.54,23.95,3195,-23.4,80.2,22.6,22.54
2020-10-30 00:50:00 UTC,29.91,40.44,45.02,3205,-22.6,80,24,34.94
2020-10-30 01:00:00 UTC,32.44,42.31,46.88,3215,-20.8,79.6,25,36.72
2020-10-30 01:10:00 UTC,20.53,25.31,27.29,3225,-21.4,79,25.8,25.31
2020-10-30 01:20:00 UTC,19.75,24.32,26.36,3235,-21.2,78.6,26.6,24.32
2020-10-30 01:30:00 UTC,20.12,24.24,26.02,3245,-21,78,27.2,24.24
2020-10-30 01:40:00 UTC,19,23.34,25.42,3255,-20.4,78,27,23.34
2020-10-30 01:50:00 UTC,19.5,23.4,24.95,3265,-21.8,78,27,23.4
2020-10-30 02:00:00 UTC,19.72,23.91,25.34,3275,-21.2,78,27,23.91
2020-10-30 02:10:00 UTC,19.44,23.56,25.23,3285,-20.8,78,27,23.56
2020-10-30 02:20:00 UTC,19.68,23.79,25.79,3295,-21,78,27,23.79
2020-10-30 02:30:00 UTC,19.18,22.93,24.21,3305,-21,78,27,22.93
2020-10-30 02:40:00 UTC,19.48,23.61,24.95,3314.5,-20.75,78,27,23.61
2020-10-30 02:50:00 UTC,18.83,22.74,24.29,3325,-20.8,77.6,27,22.74
2020-10-30 03:00:00 UTC,18.65,22.58,24.11,3335,-21.4,77.4,27,22.58
2020-10-30 03:10:00 UTC,18.79,22.66,24.28,3345,-21.4,77,27.6,22.66
2020-10-30 03:20:00 UTC,17.86,21.87,23.19,3355,-21.2,77,28,21.87
2020-10-30 03:30:00 UTC,18.28,21.92,22.71,3365,-21.2,76,29,21.92
2020-10-30 03:40:00 UTC,17.76,21.68,23.07,3375,-21.2,76,29,21.68
2020-10-30 03:50:00 UTC,18.34,22.29,23.36,3385,-21,76,30,22.29
2020-10-30 04:00:00 UTC,18.63,22.57,23.81,3395,-21.2,75.2,30,22.57
2020-10-30 04:10:00 UTC,18.57,22.52,23.81,3405,-20.2,75,30,22.52
2020-10-30 04:20:00 UTC,20.43,24.84,26.48,3415,-19,75,30,24.84
2020-10-30 04:30:00 UTC,21.02,25.55,26.83,3425,-18.6,75,30,25.55
2020-10-30 04:40:00 UTC,21.61,26.08,27.7,3435,-19.6,74.4,30,26.06
2020-10-30 04:50:00 UTC,19.53,23.72,25.16,3445,-22.4,74,30,23.72
2020-10-30 05:00:00 UTC,20.39,24.86,26.1,3455,-22.6,74,29,24.86
2020-10-30 05:10:00 UTC,19.99,24.44,26.17,3465,-22,74,29,24.42
2020-10-30 05:20:00 UTC,19.17,23.35,25.12,3475,-22,74,29,23.35
2020-10-30 05:30:00 UTC,19.17,23.42,25.09,3485,-22.2,74,29,23.42
2020-10-30 05:40:00 UTC,19.35,23.75,25.59,3495,-22,73.6,29,23.75
2020-10-30 05:50:00 UTC,18.54,22.71,24.35,3505,-22.2,73,29,22.71
2020-10-30 06:00:00 UTC,18.89,23.6,25.08,3515,-22,73,28,23.6
2020-10-30 06:10:00 UTC,19.51,23.94,26.04,3525,-21.8,73,28.8,23.94
2020-10-30 06:20:00 UTC,19.06,23.56,25.18,3535,-21.6,72.8,29,23.56
2020-10-30 06:30:00 UTC,18.92,23.47,25.02,3545,-21.8,72,29,23.47
2020-10-30 06:40:00 UTC,19.68,23.94,25.6,3554,-22,72,29.25,23.94
2020-10-30 06:50:00 UTC,19.14,23.65,25.24,3564,-21.67,72,29,23.65
2020-10-30 07:00:00 UTC,19.16,23.67,25.35,3575,-22,72,29,23.67
2020-10-30 07:10:00 UTC,20.06,24.95,26.76,3585,-22.2,71,29,24.95
2020-10-30 07:20:00 UTC,20.47,25.27,26.5,3595,-22,71,29,25.27
2020-10-30 07:30:00 UTC,20.53,25.67,27.51,3605,-21.8,71,29,25.67
2020-10-30 07:40:00 UTC,20.67,25.55,27.36,3615,-21.4,71,29.8,25.55
2020-10-30 07:50:00 UTC,20.53,25.89,28,3625,-21.8,71,30,25.89
2020-10-30 08:00:00 UTC,20.81,25.48,27.19,3635,-21.4,71,30,25.48
2020-10-30 08:10:00 UTC,20.75,25.93,27.5,3645,-24.8,71,30,25.93
2020-10-30 08:20:00 UTC,21.16,26.27,28.15,3655,-24.2,70.4,30,26.27
2020-10-30 08:30:00 UTC,20.45,25.35,27.08,3665,-24,70,30,25.35
2020-10-30 08:40:00 UTC,19.57,24.18,25.86,3675,-24.2,70.4,30,24.18
2020-10-30 08:50:00 UTC,20.48,25.25,26.33,3685,-24.2,71,30,25.25
2020-10-30 09:00:00 UTC,20.05,24.79,26.52,3695,-24.2,70.4,30,24.79
2020-10-30 09:10:00 UTC,20.37,25.32,26.79,3705,-24.2,70,30,25.32
2020-10-30 09:20:00 UTC,20.27,25,26.54,3715,-24.2,70,30,25
2020-10-30 09:30:00 UTC,20.76,25.44,26.77,3725,-23,70,30,25.44
2020-10-30 09:40:00 UTC,20.61,25.13,26.3,3735,-21.8,70,30,25.13
2020-10-30 09:50:00 UTC,20.86,26.12,27.64,3745,-22,70,30,26.12
2020-10-30 10:00:00 UTC,20.81,25.5,27.2,3755,-22.4,70,30,25.5
2020-10-30 10:10:00 UTC,20.78,25.63,27.22,3765,-22,69.2,30,25.63
2020-10-30 10:20:00 UTC,20.28,24.64,26.23,3775,-22.2,69,30,24.64
2020-10-30 10:30:00 UTC,19.18,23.63,24.77,3785,-22.2,69,30,23.63
2020-10-30 10:40:00 UTC,18.8,22.85,24.04,3795,-21.6,69.2,30,22.85
2020-10-30 10:50:00 UTC,19.79,24.37,25.55,3805,-22.2,70,30,24.37
