# STATION: TS623,,,,,
# STATION NAME: SAN LUIS PORTABLE,,,,,
# LATITUDE: 37.066389,,,,,
# LONGITUDE: -120.803889,,,,,
# ELEVATION [ft]: 70,,,,,
# STATE: CA,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Fahrenheit,%,Miles/hour,Degrees
TS623,10/30/2020 05:34 UTC,53,68,1,1
TS623,10/30/2020 06:34 UTC,51,89,2,77
TS623,10/30/2020 07:34 UTC,50,96,2,129
TS623,10/30/2020 08:34 UTC,48,94,0,0
TS623,10/30/2020 09:34 UTC,45,98,0,0
TS623,10/30/2020 10:34 UTC,46,100,0,0
TS623,10/30/2020 11:34 UTC,44,100,0,0
TS623,10/30/2020 12:34 UTC,41,100,0,0
TS623,10/30/2020 13:34 UTC,43,100,3,65
TS623,10/30/2020 14:34 UTC,39,100,0,0
TS623,10/30/2020 15:34 UTC,44,100,0,0
TS623,10/30/2020 16:34 UTC,54,78,2,248
TS623,10/30/2020 17:34 UTC,63,51,4,293
TS623,10/30/2020 18:34 UTC,69,38,5,275
TS623,10/30/2020 19:34 UTC,74,33,4,287
TS623,10/30/2020 20:34 UTC,77,25,5,317
TS623,10/30/2020 21:34 UTC,79,24,4,18
TS623,10/30/2020 22:34 UTC,80,22,5,332
TS623,10/30/2020 23:34 UTC,79,22,5.99,345
TS623,10/31/2020 00:34 UTC,75,27,3,338
TS623,10/31/2020 01:34 UTC,64,36,1,304
TS623,10/31/2020 02:34 UTC,59,52,2,316
TS623,10/31/2020 03:34 UTC,58,50,2,315
TS623,10/31/2020 04:34 UTC,55,80,1,66
TS623,10/31/2020 05:34 UTC,50,87,0,0
TS623,10/31/2020 06:34 UTC,52,99,0,0
TS623,10/31/2020 07:34 UTC,48,96,2,327
TS623,10/31/2020 08:34 UTC,51,99,3,74
TS623,10/31/2020 09:34 UTC,49,100,3,102
TS623,10/31/2020 10:34 UTC,47,100,4,88
TS623,10/31/2020 11:34 UTC,46,100,3,119
TS623,10/31/2020 12:34 UTC,45,100,4,82
TS623,10/31/2020 13:34 UTC,44,100,4,73
TS623,10/31/2020 14:34 UTC,39,100,2,328
TS623,10/31/2020 15:34 UTC,46,100,0,0
TS623,10/31/2020 16:34 UTC,53,74,4,126
TS623,10/31/2020 17:34 UTC,62,55,2,111
TS623,10/31/2020 18:34 UTC,68,45,2,130
TS623,10/31/2020 19:34 UTC,73,38,3,234
TS623,10/31/2020 20:34 UTC,78,29,2,226
TS623,10/31/2020 21:34 UTC,79,30,2,128
TS623,10/31/2020 22:34 UTC,81,25,2,115
TS623,10/31/2020 23:34 UTC,80,29,2,116
TS623,11/01/2020 00:34 UTC,76,26,2,344
TS623,11/01/2020 01:34 UTC,65,43,0,0
TS623,11/01/2020 02:34 UTC,59,48,2,343
TS623,11/01/2020 03:34 UTC,56,57,1,305
TS623,11/01/2020 04:34 UTC,54,85,1,271
TS623,11/01/2020 05:34 UTC,55,66,1,7
TS623,11/01/2020 06:34 UTC,53,100,4,82
TS623,11/01/2020 07:34 UTC,51,98,3,78
TS623,11/01/2020 08:34 UTC,50,99,2,72
TS623,11/01/2020 09:34 UTC,49,99,4,75
TS623,11/01/2020 10:34 UTC,49,100,3,102
TS623,11/01/2020 11:34 UTC,47,100,3,83
TS623,11/01/2020 12:34 UTC,47,100,4,84
TS623,11/01/2020 13:34 UTC,46,100,3,82
TS623,11/01/2020 14:34 UTC,43,95,2,12
TS623,11/01/2020 15:34 UTC,46,92,1,359
TS623,11/01/2020 16:34 UTC,55,62,3,136
TS623,11/01/2020 17:34 UTC,65,55,2,75
TS623,11/01/2020 18:34 UTC,71,41,2,100
TS623,11/01/2020 19:34 UTC,76,35,2,166
TS623,11/01/2020 20:34 UTC,81,27,3,253
TS623,11/01/2020 21:34 UTC,83,27,2,178
TS623,11/01/2020 22:34 UTC,81,24,3,351
TS623,11/01/2020 23:34 UTC,79,24,3,354
TS623,11/02/2020 00:34 UTC,74,29,2,352
TS623,11/02/2020 01:34 UTC,66,51,2,329
TS623,11/02/2020 02:34 UTC,62,46,2,335
TS623,11/02/2020 03:34 UTC,59,81,0,0
TS623,11/02/2020 04:34 UTC,58,100,2,91
TS623,11/02/2020 05:34 UTC,53,90,3,8
TS623,11/02/2020 06:34 UTC,53,87,2,112
TS623,11/02/2020 07:34 UTC,48,99,1,293
TS623,11/02/2020 08:34 UTC,47,90,2,345
TS623,11/02/2020 09:34 UTC,47,97,1,19
TS623,11/02/2020 10:34 UTC,47,100,1,203
TS623,11/02/2020 11:34 UTC,45,100,0,0
TS623,11/02/2020 12:34 UTC,44,99,3,330
TS623,11/02/2020 13:34 UTC,44,98,2,313
TS623,11/02/2020 14:34 UTC,45,100,1,261
TS623,11/02/2020 15:34 UTC,47,100,3,129
TS623,11/02/2020 16:34 UTC,56,78,2,173
TS623,11/02/2020 17:34 UTC,63,56,2,149
TS623,11/02/2020 18:34 UTC,70,39,2,304
TS623,11/02/2020 19:34 UTC,74,34,3,285
TS623,11/02/2020 20:34 UTC,77,31,2,259
TS623,11/02/2020 21:34 UTC,80,26,4,315
TS623,11/02/2020 22:34 UTC,82,22,5,338
TS623,11/02/2020 23:34 UTC,78,27,3,16
TS623,11/03/2020 00:34 UTC,77,28,3,348
TS623,11/03/2020 01:34 UTC,69,39,3,349
TS623,11/03/2020 02:34 UTC,59,55,2,262
TS623,11/03/2020 03:34 UTC,58,85,0,0
TS623,11/03/2020 04:34 UTC,58,68,2,325
TS623,11/03/2020 05:34 UTC,56,86,4,83
TS623,11/03/2020 06:34 UTC,52,80,0,0
TS623,11/03/2020 07:34 UTC,51,87,4,71
TS623,11/03/2020 08:34 UTC,51,94,5,71
TS623,11/03/2020 09:34 UTC,52,91,5,94
TS623,11/03/2020 10:34 UTC,48,94,2,202
TS623,11/03/2020 11:34 UTC,51,93,2,139
TS623,11/03/2020 12:34 UTC,46,87,2,329
TS623,11/03/2020 13:34 UTC,46,91,4,70
TS623,11/03/2020 14:34 UTC,47,99,5,69
TS623,11/03/2020 15:34 UTC,49,85,3,175
TS623,11/03/2020 16:34 UTC,57,68,2,117
TS623,11/03/2020 17:34 UTC,64,50,3,114
TS623,11/03/2020 18:34 UTC,70,41,3,80
TS623,11/03/2020 19:34 UTC,75,37,2,143
TS623,11/03/2020 20:34 UTC,79,31,2,233
TS623,11/03/2020 21:34 UTC,80,28,4,295
TS623,11/03/2020 22:34 UTC,81,25,5.99,295
TS623,11/03/2020 23:34 UTC,80,26,7,323
TS623,11/04/2020 00:34 UTC,76,29,3,334
TS623,11/04/2020 01:34 UTC,66,39,1,281
TS623,11/04/2020 02:34 UTC,65,43,2,330
TS623,11/04/2020 03:34 UTC,58,52,3,299
TS623,11/04/2020 04:34 UTC,56,59,2,301
TS623,11/04/2020 05:34 UTC,53,63,0,0
TS623,11/04/2020 06:34 UTC,52,85,2,314
TS623,11/04/2020 07:34 UTC,53,82,0,0
TS623,11/04/2020 08:34 UTC,53,100,0,0
TS623,11/04/2020 09:34 UTC,47,97,0,0
TS623,11/04/2020 10:34 UTC,44,93,2,316
TS623,11/04/2020 11:34 UTC,45,100,1,64
TS623,11/04/2020 12:34 UTC,44,100,1,322
TS623,11/04/2020 13:34 UTC,45,100,2,68
TS623,11/04/2020 14:34 UTC,42,100,2,343
TS623,11/04/2020 15:34 UTC,50,100,2,96
TS623,11/04/2020 16:34 UTC,55,82,2,257
TS623,11/04/2020 17:34 UTC,63,52,5,0
TS623,11/04/2020 18:34 UTC,69,41,5,1
TS623,11/04/2020 19:34 UTC,75,34,3,117
TS623,11/04/2020 20:34 UTC,77,30,4,345
TS623,11/04/2020 21:34 UTC,78,26,9,311
TS623,11/04/2020 22:34 UTC,79,29,7,320
TS623,11/04/2020 23:34 UTC,79,28,5.99,324
TS623,11/05/2020 00:34 UTC,75,31,4,327
TS623,11/05/2020 01:34 UTC,63,42,3,313
TS623,11/05/2020 02:34 UTC,60,55,2,279
TS623,11/05/2020 03:34 UTC,58,70,0,0
TS623,11/05/2020 04:34 UTC,56,66,1,259
TS623,11/05/2020 05:34 UTC,56,75,1,284
