Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
MPOC1,10/25/2020 20:07 PDT,55,72,4,288,2020-10-25 20:00:00 UTC,8.19,11.68,12.29,1388.0,-59.6,75.4,31.4,11.68
MPOC1,10/26/2020 02:07 PDT,44,93,4,357,2020-10-26 02:00:00 UTC,6.81,10.69,11.4,1748.0,-59.6,66.8,40.0,10.69
MPOC1,10/26/2020 08:07 PDT,38,63,4,1,2020-10-26 08:00:00 UTC,6.6,9.15,10.03,2108.0,-60.6,61.0,44.2,9.15
MPOC1,10/26/2020 14:07 PDT,65,24,5,246,2020-10-26 14:00:00 UTC,12.41,16.82,18.13,2468.0,-60.2,54.8,28.8,16.82
MPOC1,10/26/2020 20:07 PDT,44,31,7,355,2020-10-26 20:00:00 UTC,14.79,18.84,19.77,199.0,-68.6,74.4,15.0,18.82
MPOC1,10/27/2020 02:07 PDT,40,54,5.99,352,2020-10-27 02:00:00 UTC,4.14,5.98,6.49,559.0,-60.2,65.4,14.4,5.98
MPOC1,10/27/2020 08:07 PDT,42,73,5.99,356,2020-10-27 08:00:00 UTC,5.88,7.92,8.5,919.0,-62.4,57.4,26.0,7.92
MPOC1,10/27/2020 14:07 PDT,69,25,3,176,2020-10-27 14:00:00 UTC,7.95,11.65,12.5,1279.0,-61.2,56.8,36.4,11.65
MPOC1,10/27/2020 20:07 PDT,49,44,3,7,2020-10-27 20:00:00 UTC,21.44,28.47,29.86,1639.0,-71.0,78.0,18.0,28.3
MPOC1,10/28/2020 02:07 PDT,45,33,7,356,2020-10-28 02:00:00 UTC,14.63,19.13,20.34,1999.0,-71.4,69.0,20.0,19.13
MPOC1,10/28/2020 08:07 PDT,45,33,7,352,2020-10-28 08:00:00 UTC,10.03,14.03,14.83,2359.0,-62.2,61.0,17.2,14.03
MPOC1,10/28/2020 14:07 PDT,75,12,5,244,2020-10-28 14:00:00 UTC,18.05,25.17,26.61,2719.0,-64.0,60.0,17.2,25.17
