created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-10-25 00:00:00 UTC,8.71,12.64,13.44,188,-62,78.8,22.4,12.64
2020-10-25 00:10:00 UTC,8.06,11.7,12.55,198,-62.8,77.6,23.8,11.7
2020-10-25 00:20:00 UTC,7.63,10.85,11.47,208,-62,77.2,25,10.85
2020-10-25 00:30:00 UTC,7.35,10.65,11.19,218,-61.4,77,25.6,10.65
2020-10-25 00:40:00 UTC,6.87,9.55,10.26,228,-66.6,76.6,26.4,9.55
2020-10-25 00:50:00 UTC,6.4,9.09,9.55,238,-63.6,76.2,27,9.09
2020-10-25 01:00:00 UTC,6.73,8.98,9.55,248,-65.2,76,27,8.98
2020-10-25 01:10:00 UTC,6.64,9.56,10.33,258,-67.4,76,27,9.56
2020-10-25 01:20:00 UTC,6.59,9.38,9.86,268,-65.6,76,27.2,9.38
2020-10-25 01:30:00 UTC,6.49,9.37,9.95,278,-67,75.8,27.4,9.37
2020-10-25 01:40:00 UTC,6.76,9.47,10,288,-65.6,75,27.4,9.47
2020-10-25 01:50:00 UTC,6.61,9.52,9.93,298,-66,75,27.4,9.52
2020-10-25 02:00:00 UTC,6.72,9.39,9.92,308,-64,74.8,27.6,9.39
2020-10-25 02:10:00 UTC,7.02,10.06,10.61,318,-65.4,73,28.4,10.06
2020-10-25 02:20:00 UTC,7.28,10.56,11.11,328,-59,72.8,29,10.56
2020-10-25 02:30:00 UTC,7.4,10.49,11.32,338,-60.8,72.8,29,10.49
2020-10-25 02:40:00 UTC,7.25,10.48,11.16,348,-64.4,72.2,29,10.48
2020-10-25 02:50:00 UTC,7.1,10.47,11.22,358,-61.6,72,29.2,10.47
2020-10-25 03:00:00 UTC,7.04,10.08,10.86,368,-60.4,72,30,10.08
2020-10-25 03:10:00 UTC,6.97,9.81,10.47,378,-59.8,71.4,30.4,9.81
2020-10-25 03:20:00 UTC,6.93,10.09,10.92,388,-60.4,71,31.2,10.09
2020-10-25 03:30:00 UTC,6.75,10.3,11.27,398,-60.2,70,31.6,10.3
2020-10-25 03:40:00 UTC,6.69,10.08,11.27,408,-60.6,70,31.8,10.08
2020-10-25 03:50:00 UTC,6.72,10.03,10.78,418,-58.2,70,31.2,10.03
2020-10-25 04:00:00 UTC,6.76,10.47,11.4,428,-60.2,69.6,31.4,10.47
2020-10-25 04:10:00 UTC,7.16,11.12,12.05,438,-60.2,69,32,11.12
2020-10-25 04:20:00 UTC,6.74,10.35,11.1,448,-58.6,69,32,10.35
2020-10-25 04:30:00 UTC,7.09,11.06,11.9,458,-57.6,68,32.8,11.06
2020-10-25 04:40:00 UTC,6.81,10.62,11.5,468,-57.6,68.4,32.4,10.62
2020-10-25 04:50:00 UTC,6.84,10.71,11.42,478,-57.8,68,33,10.71
2020-10-25 05:00:00 UTC,7.34,11.94,12.78,488,-58.6,68,33.8,11.94
2020-10-25 05:10:00 UTC,7.34,12.03,12.67,498,-58.2,68,33.6,12.03
2020-10-25 05:20:00 UTC,7.29,12.01,13.14,508,-59,68,33.4,12.01
2020-10-25 05:30:00 UTC,7.13,11.2,11.86,518,-61.4,68,33.4,11.2
2020-10-25 05:40:00 UTC,6.69,10.66,11.52,528,-59.6,68,34,10.66
2020-10-25 05:50:00 UTC,6.42,10,10.38,538,-58.2,67.8,34,10
2020-10-25 06:00:00 UTC,6.72,10.56,11.34,548,-61.75,68,34,10.56
2020-10-25 06:10:00 UTC,6.67,10.69,11.5,558,-61.2,67.4,34,10.69
2020-10-25 06:20:00 UTC,7.04,11.13,12.03,568,-61.2,67,34,11.13
2020-10-25 06:30:00 UTC,6.87,11.08,11.88,578,-61.6,67,34.8,11.08
2020-10-25 06:40:00 UTC,7.17,11,11.97,588,-61,66.6,35.2,11
2020-10-25 06:50:00 UTC,7.26,11.21,11.71,598,-59,66,35.2,11.21
2020-10-25 07:00:00 UTC,7.09,11.37,12.05,608,-58.2,66,35.8,11.37
2020-10-25 07:10:00 UTC,7.27,10.83,11.49,618,-58.2,66,35.4,10.83
2020-10-25 07:20:00 UTC,7.82,11.64,12.83,628,-59.4,66,36,11.64
2020-10-25 07:30:00 UTC,7.71,11.21,11.95,638,-60.2,65.4,36,11.21
2020-10-25 07:40:00 UTC,7.85,11.75,12.76,648,-60.8,66,36,11.75
2020-10-25 07:50:00 UTC,7.49,10.69,11.36,658,-63.6,65.8,36,10.69
2020-10-25 08:00:00 UTC,7.27,10.89,11.89,668,-60,65.6,36,10.89
2020-10-25 08:10:00 UTC,7.3,10.94,11.71,678,-60.2,65.2,36,10.94
2020-10-25 08:20:00 UTC,7.44,11.08,11.59,688,-61.6,65.4,36,11.08
2020-10-25 08:30:00 UTC,7.17,10.93,11.42,698,-61.4,65,36,10.93
2020-10-25 08:40:00 UTC,7.11,10.59,11.33,708,-62.8,65,37,10.59
2020-10-25 08:50:00 UTC,7.15,10.73,11.42,718,-62.8,65,36,10.73
2020-10-25 09:00:00 UTC,7.27,10.69,11.42,728,-62.2,65,36.2,10.69
2020-10-25 09:10:00 UTC,7.24,10.92,11.54,738,-59.4,64.6,37,10.92
2020-10-25 09:20:00 UTC,7.52,10.5,11.25,748,-60.4,63.6,38,10.5
2020-10-25 09:30:00 UTC,7.71,10.47,11.32,758,-62,63.4,39.4,10.47
2020-10-25 09:40:00 UTC,7.59,10.48,11.01,768,-63.4,63.6,38.8,10.48
2020-10-25 09:50:00 UTC,7,9.93,10.54,778,-63.2,64,38.2,9.93
2020-10-25 10:00:00 UTC,6.63,9.98,11.06,788,-64,64,37.4,9.98
2020-10-25 10:10:00 UTC,6.97,10.62,11.03,798,-63.8,64,38,10.62
2020-10-25 10:20:00 UTC,6.43,9.82,10.81,808,-63.4,64,37.8,9.82
2020-10-25 10:30:00 UTC,7.28,10.25,10.91,818,-62.8,64,38,10.25
2020-10-25 10:40:00 UTC,7.26,10.18,11.09,828,-62,63.2,38.6,10.18
2020-10-25 10:50:00 UTC,7.36,10.53,11.18,838,-62,63,39.8,10.53
2020-10-25 11:00:00 UTC,7.14,10.29,11.02,848,-61,63,40.6,10.29
2020-10-25 11:10:00 UTC,7.14,10.21,11.21,858,-61.4,63.2,39.6,10.21
2020-10-25 11:20:00 UTC,7.16,10.38,11.31,868,-59,64,38.6,10.38
2020-10-25 11:30:00 UTC,7.42,10.59,11.67,878,-59.4,64,38.4,10.59
2020-10-25 11:40:00 UTC,7.74,10.69,11.16,888,-60,63,39,10.69
2020-10-25 11:50:00 UTC,7.3,10.51,11.31,898,-59.6,63,39,10.51
2020-10-25 12:00:00 UTC,7.29,10.5,11.26,908,-58.4,63,39,10.5
2020-10-25 12:10:00 UTC,6.98,10.08,11.05,918,-58.8,63,39,10.08
2020-10-25 12:20:00 UTC,7.38,10.3,11.25,928,-58.2,63,39,10.3
2020-10-25 12:30:00 UTC,7.4,10.37,11.21,938,-59,63.2,39,10.37
2020-10-25 12:40:00 UTC,7.3,10.27,11.23,948,-59.4,63,39,10.27
2020-10-25 12:50:00 UTC,7.69,10.79,11.57,958,-60,63,39,10.79
2020-10-25 13:00:00 UTC,8,11.39,12.59,968,-59.4,62.8,40,11.39
2020-10-25 13:10:00 UTC,7.92,11.92,13.15,978,-59.4,62.4,40,11.92
2020-10-25 13:20:00 UTC,8.17,12.13,13.08,988,-60,63,39.4,12.13
2020-10-25 13:30:00 UTC,7.9,11.33,12.06,998,-62.2,63,39,11.33
2020-10-25 13:40:00 UTC,8.09,12.16,13.46,1008,-62.4,62.8,39.4,12.16
2020-10-25 13:50:00 UTC,7.88,11.14,12.01,1018,-61.8,63,39.4,11.14
2020-10-25 14:00:00 UTC,8.24,12.05,12.86,1028,-61.4,63,39,12.05
2020-10-25 14:10:00 UTC,8.03,11.57,12.55,1038,-61.8,62.8,39,11.57
2020-10-25 14:20:00 UTC,8.03,11.87,12.55,1048,-58.2,62,39.6,11.87
2020-10-25 14:30:00 UTC,7.92,11.28,12.15,1058,-59.6,62,39.2,11.28
2020-10-25 14:40:00 UTC,8.01,11.44,12.69,1068,-61.2,62,39.4,11.44
2020-10-25 14:50:00 UTC,7.89,11.66,12.74,1078,-64.4,61.4,41.2,11.66
2020-10-25 15:00:00 UTC,7.71,11.66,12.67,1088,-65.8,62,40.6,11.66
2020-10-25 15:10:00 UTC,8.14,12.22,13.03,1098,-66.2,62.8,40.6,12.22
2020-10-25 15:20:00 UTC,8.36,12,13.27,1108,-67.6,63.4,40.6,12
2020-10-25 15:30:00 UTC,8.57,12.4,13.3,1118,-68,64,40,12.4
2020-10-25 15:40:00 UTC,8.58,12.5,13.45,1128,-67.4,65,39.8,12.5
2020-10-25 15:50:00 UTC,8.29,11.93,12.97,1138,-66.8,65,39,11.93
2020-10-25 16:00:00 UTC,8.26,11.93,12.68,1148,-65,65.8,38.4,11.93
2020-10-25 16:10:00 UTC,8.11,12.01,13.21,1158,-65.2,66.4,38,12.01
2020-10-25 16:20:00 UTC,8.23,12.51,13.52,1168,-65.6,67,37.2,12.51
2020-10-25 16:30:00 UTC,9.74,14.44,15.37,1178,-67.6,67.4,36.2,14.44
2020-10-25 16:40:00 UTC,9.54,14.49,15.62,1188,-61.8,68,35.2,14.49
2020-10-25 16:50:00 UTC,10.26,15.59,16.8,1198,-63.4,68.6,34.4,15.59
2020-10-25 17:00:00 UTC,10.41,15.68,16.97,1208,-65.2,69.4,33.6,15.68
2020-10-25 17:10:00 UTC,10.65,16.11,17.16,1218,-65.4,70,32.6,16.11
2020-10-25 17:20:00 UTC,11.43,17.68,18.58,1228,-64.8,70.4,32,17.68
2020-10-25 17:30:00 UTC,9.07,14.12,14.89,1238,-63.4,70.4,32,14.12
2020-10-25 17:40:00 UTC,8.73,12.97,14.05,1248,-61.8,71.2,32.4,12.97
2020-10-25 17:50:00 UTC,7.63,11.12,11.92,1258,-62.8,72,33,11.12
2020-10-25 18:00:00 UTC,7.42,10.91,11.37,1268,-60.8,71.6,33,10.91
2020-10-25 18:10:00 UTC,7.54,10.78,11.77,1278,-59.2,72,33,10.78
2020-10-25 18:20:00 UTC,7.9,11.32,12.08,1288,-60.4,72.4,32.2,11.32
2020-10-25 18:30:00 UTC,7.98,11.43,12.36,1298,-60.4,73.4,31.6,11.43
2020-10-25 18:40:00 UTC,7.81,11.3,11.8,1308,-61,74.6,30.8,11.3
2020-10-25 18:50:00 UTC,7.59,11.02,11.54,1318,-59.2,75.2,30,11.02
2020-10-25 19:00:00 UTC,7.88,11.32,12.09,1328,-59,75.8,29,11.32
2020-10-25 19:10:00 UTC,7.99,11.52,12.51,1338,-61,76.2,29,11.52
2020-10-25 19:20:00 UTC,7.93,11.72,12.27,1348,-63,77,29,11.72
