Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees,date,pm1,pm2_5,pm10,upTimeMin,rssi_dbm,temp,humidity,pm2_5atm
KMCE,10/25/2020 20:00 UTC,68,52.57,12.66,320,2020-10-25 20:00:00 UTC,10.44,17.24,18.92,1251.0,-48.4,71.0,47.0,17.24
KMCE,10/26/2020 02:00 UTC,62.6,59.3,4.6,290,2020-10-26 02:00:00 UTC,10.2,16.31,17.81,1611.0,-45.6,68.8,46.0,16.31
KMCE,10/26/2020 08:00 UTC,53.6,25.82,9.21,330,2020-10-26 08:00:00 UTC,2.75,6.07,8.12,1971.0,-47.6,58.0,25.8,6.07
KMCE,10/26/2020 14:00 UTC,46.4,31.23,6.91,330,2020-10-26 14:00:00 UTC,3.22,5.53,6.53,2331.0,-46.0,53.0,25.2,5.53
KMCE,10/26/2020 20:00 UTC,64.4,15.03,10.36,340,2020-10-26 20:00:00 UTC,3.81,6.17,7.15,2691.0,-46.6,66.6,15.4,6.17
KMCE,10/27/2020 02:00 UTC,57.2,35.58,4.6,170,2020-10-27 02:00:00 UTC,7.82,11.54,13.05,3051.0,-46.8,66.4,24.4,11.54
KMCE,10/27/2020 08:00 UTC,44.6,65.6,5.75,130,2020-10-27 08:00:00 UTC,8.44,12.44,14.0,3411.0,-46.0,57.0,40.0,12.44
KMCE,10/27/2020 14:00 UTC,44.6,65.6,6.91,120,2020-10-27 14:00:00 UTC,7.73,12.39,14.01,3771.0,-45.0,55.0,44.2,12.39
KMCE,10/27/2020 20:00 UTC,68,22.61,4.6,200,2020-10-27 20:00:00 UTC,6.4,10.64,12.54,4131.0,-47.2,72.0,21.0,10.64
KMCE,10/28/2020 02:00 UTC,62.6,36.47,3.45,190,2020-10-28 02:00:00 UTC,20.32,29.14,31.36,4491.0,-48.6,68.8,30.2,28.8
KMCE,10/28/2020 08:00 UTC,44.6,65.6,3.45,90,2020-10-28 08:00:00 UTC,15.1,22.76,25.03,4851.0,-47.4,58.0,38.2,22.76
KMCE,10/28/2020 14:00 UTC,41,70.06,3.45,70,2020-10-28 14:00:00 UTC,16.56,24.78,27.03,5211.0,-48.6,53.0,46.8,24.77
KMCE,10/28/2020 20:00 UTC,73.4,20.26,0,0,2020-10-28 20:00:00 UTC,16.0,23.2,25.69,5571.0,-48.2,74.0,20.2,23.2
KMCE,10/29/2020 02:00 UTC,66.2,29.94,0,0,2020-10-29 02:00:00 UTC,16.67,24.02,26.08,5931.0,-47.4,71.0,27.0,24.02
KMCE,10/29/2020 08:53 UTC,48.02,56,0,0,2020-10-29 08:00:00 UTC,16.33,24.44,26.54,6291.0,-47.2,58.0,40.0,24.44
KMCE,10/29/2020 14:53 UTC,41,70.06,3.45,90,2020-10-29 14:00:00 UTC,15.66,24.19,26.42,6651.0,-45.4,52.0,49.0,24.18
KMCE,10/29/2020 20:00 UTC,73.4,23.43,0,0,2020-10-29 20:00:00 UTC,19.84,32.0,35.12,7011.0,-46.8,75.0,21.4,30.89
KMCE,10/30/2020 02:00 UTC,69.8,26.46,3.45,280,2020-10-30 02:00:00 UTC,19.18,27.87,30.04,7371.0,-45.8,71.2,29.4,27.75
KMCE,10/30/2020 08:00 UTC,48.2,66.05,0,0,2020-10-30 08:00:00 UTC,20.77,31.48,33.56,7731.0,-46.0,59.0,41.2,30.57
KMCE,10/30/2020 14:00 UTC,41,75.32,0,0,2020-10-30 14:00:00 UTC,20.95,30.91,33.39,8091.0,-46.0,53.0,44.6,30.15
KMCE,10/30/2020 20:00 UTC,73.4,25.17,6.91,310,2020-10-30 20:00:00 UTC,34.15,53.84,58.24,8451.0,-44.8,75.0,23.2,42.88
