Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees - sometimes this field is blank
KMCE,09/28/2020 02:00 UTC,29,37.44,1.54,300
KMCE,09/28/2020 08:00 UTC,19,68.2,2.06,130
KMCE,09/28/2020 14:05 UTC,16,77.17,1.54,90
KMCE,09/28/2020 20:00 UTC,31,29.27,2.06,260
KMCE,09/29/2020 02:00 UTC,29,35.07,1.54,320
KMCE,09/29/2020 08:00 UTC,18,63.64,1.54,100
KMCE,09/29/2020 14:35 UTC,18,63.64,1.54,80
KMCE,09/29/2020 20:00 UTC,34,23.13,2.06,280
KMCE,09/30/2020 02:00 UTC,29,37.44,3.09,340
KMCE,09/30/2020 08:00 UTC,21,56.44,3.09,340
KMCE,09/30/2020 14:00 UTC,17,72.42,1.54,270
KMCE,09/30/2020 20:00 UTC,32,27.66,4.12,330
KMCE,10/01/2020 02:40 UTC,27,42.06,1.54,230
KMCE,10/01/2020 08:45 UTC,21,56.44,1.54,90
KMCE,10/01/2020 14:00 UTC,18,63.64,1.54,110
KMCE,10/01/2020 20:00 UTC,33,26.15,1.54,280
KMCE,10/02/2020 02:00 UTC,29,32.82,1.54,290
KMCE,10/02/2020 09:00 UTC,17,72.42,1.54,110
KMCE,10/02/2020 14:15 UTC,16,72.23,1.54,100
KMCE,10/02/2020 20:00 UTC,31,33.39,3.09,280
KMCE,10/03/2020 02:45 UTC,25,50.52,1.54,250
KMCE,10/03/2020 08:00 UTC,17,72.42,2.06,100
KMCE,10/03/2020 14:10 UTC,16,72.23,1.54,10
KMCE,10/03/2020 20:00 UTC,32,29.55,1.54,310
KMCE,10/04/2020 02:45 UTC,24,44.05,1.54,70
KMCE,10/04/2020 08:00 UTC,18,63.64,2.06,100
KMCE,10/04/2020 14:25 UTC,16,67.57,1.54,90
KMCE,10/04/2020 20:05 UTC,33,26.15,2.06,270
KMCE,10/05/2020 02:00 UTC,27,30.14,3.09,330
KMCE,10/05/2020 08:53 UTC,14.4,61.96,1.54,150
KMCE,10/05/2020 19:00 UTC,28,26.56,1.54,320
KMCE,10/05/2020 20:00 UTC,30,22.09,2.06,270
KMCE,10/06/2020 02:00 UTC,27,39.39,2.06,330
KMCE,10/06/2020 08:00 UTC,14,76.85,1.54,90
KMCE,10/06/2020 15:30 UTC,18,55.67,2.06,360
KMCE,10/06/2020 20:00 UTC,29,28.71,1.54,260
KMCE,10/07/2020 02:00 UTC,27,36.87,2.06,310
KMCE,10/07/2020 08:00 UTC,20,56.19,1.54,50
KMCE,10/07/2020 15:25 UTC,16,72.23,1.54,110
KMCE,10/07/2020 20:00 UTC,30,16.68,3.6,330
