Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees - sometimes this field is blank
KMCE,10/25/2020 20:00 UTC,68,52.57,12.66,320,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/26/2020 02:00 UTC,62.6,59.3,4.6,290,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/26/2020 08:00 UTC,53.6,25.82,9.21,330,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/26/2020 14:00 UTC,46.4,31.23,6.91,330,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/26/2020 20:00 UTC,64.4,15.03,10.36,340,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/27/2020 02:00 UTC,57.2,35.58,4.6,170,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/27/2020 08:00 UTC,44.6,65.6,5.75,130,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/27/2020 14:00 UTC,44.6,65.6,6.91,120,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/27/2020 20:00 UTC,68,22.61,4.6,200,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/28/2020 02:00 UTC,62.6,36.47,3.45,190,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/28/2020 08:00 UTC,44.6,65.6,3.45,90,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/28/2020 14:00 UTC,41,70.06,3.45,70,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/28/2020 20:00 UTC,73.4,20.26,0,0,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/29/2020 02:00 UTC,66.2,29.94,0,0,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/29/2020 08:53 UTC,48.02,56,0,0,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/29/2020 14:53 UTC,41,70.06,3.45,90,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/29/2020 20:00 UTC,73.4,23.43,0,0,null, pm1=0.0, pm2_5=0.0, pm10=0.0, uptimeMin=0.0, rssi_dbm=0.0, temp=0.0, humidity=0.0, pm2_5_atm=0.0, line=no record]
KMCE,10/30/2020 02:00 UTC,69.8,26.46,3.45,280,2020-10-30 02:00:00 UTC, pm1=19.72, pm2_5=23.91, pm10=25.34, uptimeMin=3275.0, rssi_dbm=-21.2, temp=78.0, humidity=27.0, pm2_5_atm=23.91, line=2020-10-30 02:00:00 UTC,19.72,23.91,25.34,3275.00,-21.20,78.00,27.00,23.91]
KMCE,10/30/2020 08:00 UTC,48.2,66.05,0,0,2020-10-30 08:00:00 UTC, pm1=20.81, pm2_5=25.48, pm10=27.19, uptimeMin=3635.0, rssi_dbm=-21.4, temp=71.0, humidity=30.0, pm2_5_atm=25.48, line=2020-10-30 08:00:00 UTC,20.81,25.48,27.19,3635.00,-21.40,71.00,30.00,25.48]
KMCE,10/30/2020 14:00 UTC,41,75.32,0,0,2020-10-30 14:00:00 UTC, pm1=28.79, pm2_5=37.11, pm10=40.51, uptimeMin=3995.0, rssi_dbm=-20.4, temp=60.8, humidity=39.6, pm2_5_atm=34.8, line=2020-10-30 14:00:00 UTC,28.79,37.11,40.51,3995.00,-20.40,60.80,39.60,34.80]
KMCE,10/30/2020 20:00 UTC,73.4,25.17,6.91,310,2020-10-30 20:00:00 UTC, pm1=29.66, pm2_5=39.81, pm10=44.62, uptimeMin=4355.0, rssi_dbm=-18.4, temp=78.0, humidity=24.2, pm2_5_atm=35.5, line=2020-10-30 20:00:00 UTC,29.66,39.81,44.62,4355.00,-18.40,78.00,24.20,35.50]
KMCE,10/31/2020 02:00 UTC,62.6,42.03,0,0,2020-10-31 02:00:00 UTC, pm1=28.29, pm2_5=35.07, pm10=36.9, uptimeMin=4715.0, rssi_dbm=-18.2, temp=81.0, humidity=26.4, pm2_5_atm=32.74, line=2020-10-31 02:00:00 UTC,28.29,35.07,36.90,4715.00,-18.20,81.00,26.40,32.74]
KMCE,10/31/2020 08:00 UTC,46.4,70.68,0,0,2020-10-31 08:00:00 UTC, pm1=30.14, pm2_5=38.26, pm10=39.9, uptimeMin=5075.0, rssi_dbm=-23.8, temp=73.0, humidity=28.0, pm2_5_atm=34.71, line=2020-10-31 08:00:00 UTC,30.14,38.26,39.90,5075.00,-23.80,73.00,28.00,34.71]
KMCE,10/31/2020 14:00 UTC,41,70.06,0,0,2020-10-31 14:00:00 UTC, pm1=39.64, pm2_5=53.05, pm10=56.6, uptimeMin=5435.0, rssi_dbm=-19.6, temp=61.2, humidity=34.2, pm2_5_atm=43.46, line=2020-10-31 14:00:00 UTC,39.64,53.05,56.60,5435.00,-19.60,61.20,34.20,43.46]
KMCE,10/31/2020 20:53 UTC,75.92,23.47,3.45,330,2020-10-31 20:00:00 UTC, pm1=24.87, pm2_5=30.71, pm10=32.13, uptimeMin=5795.0, rssi_dbm=-20.8, temp=80.0, humidity=25.6, pm2_5_atm=30.03, line=2020-10-31 20:00:00 UTC,24.87,30.71,32.13,5795.00,-20.80,80.00,25.60,30.03]
KMCE,11/01/2020 02:53 UTC,62.06,47.9,0,0,2020-11-01 02:00:00 UTC, pm1=26.98, pm2_5=33.97, pm10=35.67, uptimeMin=6155.0, rssi_dbm=-20.8, temp=79.8, humidity=27.0, pm2_5_atm=31.93, line=2020-11-01 02:00:00 UTC,26.98,33.97,35.67,6155.00,-20.80,79.80,27.00,31.93]
KMCE,11/01/2020 08:53 UTC,48.02,65.56,4.6,100,2020-11-01 08:00:00 UTC, pm1=33.18, pm2_5=43.39, pm10=45.71, uptimeMin=6515.0, rssi_dbm=-20.8, temp=71.0, humidity=31.0, pm2_5_atm=37.79, line=2020-11-01 08:00:00 UTC,33.18,43.39,45.71,6515.00,-20.80,71.00,31.00,37.79]
KMCE,11/01/2020 14:53 UTC,46.04,65.31,0,0,2020-11-01 14:00:00 UTC, pm1=35.73, pm2_5=47.36, pm10=50.12, uptimeMin=6875.0, rssi_dbm=-18.4, temp=67.0, humidity=32.0, pm2_5_atm=39.92, line=2020-11-01 14:00:00 UTC,35.73,47.36,50.12,6875.00,-18.40,67.00,32.00,39.92]
